row_label_raw,row_label_full,CHỈ TIÊU,EUR quy đổi > Triệu VND,USD quy đổi > Triệu VND,Vàng quy đổi > Triệu VND,Các ngoại tệ khácđược quy đổi > Triệu VND,numeric__EUR quy đổi > Triệu VND,numeric__USD quy đổi > Triệu VND,numeric__Vàng quy đổi > Triệu VND,numeric__Các ngoại tệ khácđược quy đổi > Triệu VND
Tài sản,Tài sản,Tài sản,,,,,,,,
Tiền mặt,Tài sản > Tiền mặt,Tiền mặt,162.987,805.373,37.737,192.515,162987.0,805373.0,37737.0,192515.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,90.572,4.745.353,-,-,90572.0,4745353.0,,
Tiền gửi tại và cho vay các TCTD khác,Tài sản > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,1.258.627,62.354.705,-,96.229.008,1258627.0,62354705.0,,96229008.0
Công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Công cụ tài chính phải sinh và các tài sản tài chính khác,Công cụ tài chính phải sinh và các tài sản tài chính khác,-,9.130.085,-,7.399,,9130085.0,,7399.0
Cho vay khách hàng (*),Tài sản > Cho vay khách hàng (*),Cho vay khách hàng (*),1.846.092,93.015.615,-,2.896.827,1846092.0,93015615.0,,2896827.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,32.308,-,-,80.384,32308.0,,,80384.0
Tài sản Có khác (*),Tài sản > Tài sản Có khác (*),Tài sản Có khác (*),2.812.189,16.538.679,-,691.048,2812189.0,16538679.0,,691048.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,6.202.775,186.589.810,37.737,100.097.181,6202775.0,186589810.0,37737.0,100097181.0
Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,,,,,,,,
Tiền gửi và vay các TCTD khác,Nợ phải trả và vốn chủ sở hữu > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,1.465.143,64.617.772,-,75.172.682,1465143.0,64617772.0,,75172682.0
Tiền gửi của khách hàng,Nợ phải trả và vốn chủ sở hữu > Tiền gửi của khách hàng,Tiền gửi của khách hàng,2.478.806,75.048.141,-,2.588.714,2478806.0,75048141.0,,2588714.0
Công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả và vốn chủ sở hữu > Công cụ tài chính phải sinh và các khoản nợ tài chính khác,Công cụ tài chính phải sinh và các khoản nợ tài chính khác,966.977,34.501.058,-,20.668.070,966977.0,34501058.0,,20668070.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả và vốn chủ sở hữu > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",133.978,1.579.163,-,73.780,133978.0,1579163.0,,73780.0
Phát hành giấy tờ có giá,Nợ phải trả và vốn chủ sở hữu > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,116,-,-,,116.0,,
Các khoản nợ khác (*),Nợ phải trả và vốn chủ sở hữu > Các khoản nợ khác (*),Các khoản nợ khác (*),957.123,1.120.822,-,291.398,957123.0,1120822.0,,291398.0
Tổng nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu > Tổng nợ phải trả và vốn chủ sở hữu,Tổng nợ phải trả và vốn chủ sở hữu,6.002.027,176.867.072,-,98.794.644,6002027.0,176867072.0,,98794644.0
Trạng thái tiên tệ nội bằng,Nợ phải trả và vốn chủ sở hữu > Trạng thái tiên tệ nội bằng,Trạng thái tiên tệ nội bằng,200.748,9.722.738,37.737,1.302.537,200748.0,9722738.0,37737.0,1302537.0
