row_label_raw,row_label_full,col_0,Số cuối năm,Số đầu năm(Trình bày lại),numeric__Số cuối năm,numeric__Số đầu năm(Trình bày lại)
,,,Triệu VND,Triệu VND,,
"Các khoản thu, chỉ hộ các tổ chức khác","Các khoản thu, chỉ hộ các tổ chức khác","Các khoản thu, chỉ hộ các tổ chức khác",1.168.189,3.896.715,1168189.0,3896715.0
Tiền giữ hộ và chờ thanh toán,Tiền giữ hộ và chờ thanh toán,Tiền giữ hộ và chờ thanh toán,94.028,84.460,94028.0,84460.0
Thuế TNDN phải trả,Thuế TNDN phải trả,Thuế TNDN phải trả,3.119.682,2.959.719,3119682.0,2959719.0
Các khoản chờ thanh toán khác,Các khoản chờ thanh toán khác,Các khoản chờ thanh toán khác,3.048.330,1.163.971,3048330.0,1163971.0
Doanh thu chờ phân bổ,Doanh thu chờ phân bổ,Doanh thu chờ phân bổ,4.798.048,5.490.441,4798048.0,5490441.0
Phải trả khác liên quan đến nghiệp vụ chứng khoán,Phải trả khác liên quan đến nghiệp vụ chứng khoán,Phải trả khác liên quan đến nghiệp vụ chứng khoán,832.766,362.994,832766.0,362994.0
Phải trả thuế khác,Phải trả thuế khác,Phải trả thuế khác,471.316,470.346,471316.0,470346.0
Các khoản phải trả liên quan đến hoạt động tài trợ thương mại,Các khoản phải trả liên quan đến hoạt động tài trợ thương mại,Các khoản phải trả liên quan đến hoạt động tài trợ thương mại,5.999,6.000,5999.0,6000.0
Thanh toán giữa các tổ chức tín dụng,Thanh toán giữa các tổ chức tín dụng,Thanh toán giữa các tổ chức tín dụng,544.755,805.824,544755.0,805824.0
Chuyển tiền phải trả,Chuyển tiền phải trả,Chuyển tiền phải trả,374.730,224.454,374730.0,224454.0
Phải trả liên quan đến hoạt động bán nợ (*),Phải trả liên quan đến hoạt động bán nợ (*),Phải trả liên quan đến hoạt động bán nợ (*),979.510,64.488,979510.0,64488.0
Các khoản phải trả khác,Các khoản phải trả khác,Các khoản phải trả khác,77.862,69.226,77862.0,69226.0
,,,15.515.215,15.598.638,15515215.0,15598638.0
