row_label_raw,row_label_full,Họ tên,Chức danh,Ngày bổ nhiệm/miễn nhiệm,Năm nay > Triệu VND,Năm trước > Triệu VND,numeric__Chức danh,numeric__Ngày bổ nhiệm/miễn nhiệm,numeric__Năm nay > Triệu VND,numeric__Năm trước > Triệu VND
BAN ĐIỀU HÀNH,BAN ĐIỀU HÀNH,BAN ĐIỀU HÀNH,,,12.812,11.533,,,12812.0,11533.0
Ông Đỗ Thanh Sơn,Ông Đỗ Thanh Sơn,Ông Đỗ Thanh Sơn,Phó Tổng Giám đốc phụ tráchBan Điều hành,Phụ trách Ban Điều hành từ ngày 01 tháng 9 năm 2023,2.033,420,,,2033.0,420.0
Ông Nguyễn Hoàng Dũng,Ông Nguyễn Hoàng Dũng,Ông Nguyễn Hoàng Dũng,Phó Tổng Giám đốc phụ tráchBan Điều hành,Nghỉ chế độ từ ngày 01 tháng 9 năm 2023,1.645,2.368,,,1645.0,2368.0
Ông Hoàng Ngọc Phương,Ông Hoàng Ngọc Phương,Ông Hoàng Ngọc Phương,Phó Tổng Giám đốc,Miễn nhiệm ngày 28 tháng 3 năm 2024,1.678,982,,,1678.0,982.0
Ông Nguyễn Trần Mạnh Trung,Ông Nguyễn Trần Mạnh Trung,Ông Nguyễn Trần Mạnh Trung,Phó Tổng Giám đốc,,1.789,1.166,,,1789.0,1166.0
Ông Lê Duy Hải,Ông Lê Duy Hải,Ông Lê Duy Hải,Phó Tổng Giám đốc,,1.654,1.067,,,1654.0,1067.0
Ông Trần Công Quỳnh Lân,Ông Trần Công Quỳnh Lân,Ông Trần Công Quỳnh Lân,Phó Tổng Giám đốc,,2.236,2.262,,,2236.0,2262.0
Ông Nguyễn Đình Vinh,Ông Nguyễn Đình Vinh,Ông Nguyễn Đình Vinh,Phó Tổng Giám đốc,,1.977,1.921,,,1977.0,1921.0
Bà Lê Như Hoa,Bà Lê Như Hoa,Bà Lê Như Hoa,Phó Tổng Giám đốc,,1.832,1.768,,,1832.0,1768.0
Ông Nguyễn Hải Hưng,Ông Nguyễn Hải Hưng,Ông Nguyễn Hải Hưng,Kế toán trường,,1.927,1.869,,,1927.0,1869.0
