row_label_raw,row_label_full,col_0,Vốn điều lệ,Thặng dư vốn cổ phần,Vốn khác,Chênh lệch tỷ giá hối đoái,Quỹ đầu tư phát triển,Quỹ dự phòng tài chính,Quỹ dự trữ bổ sung vốn điều lệ,Lợi nhuận sau thuế chưa phân phối,Lợi ích của cổ đông không kiểm soát,Tổng cộng,numeric__Vốn điều lệ,numeric__Thặng dư vốn cổ phần,numeric__Vốn khác,numeric__Chênh lệch tỷ giá hối đoái,numeric__Quỹ đầu tư phát triển,numeric__Quỹ dự phòng tài chính,numeric__Quỹ dự trữ bổ sung vốn điều lệ,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích của cổ đông không kiểm soát,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,48.057.506,8.974.698,515.908,245.231,70.571,9.026.298,4.576.396,21.488.131,694.772,93.649.511,48057506.0,8974698.0,515908.0,245231.0,70571.0,9026298.0,4576396.0,21488131.0,694772.0,93649511.0
Lợi nhuận sau thuế trong năm,Lợi nhuận sau thuế trong năm,Lợi nhuận sau thuế trong năm,-,-,-,-,-,-,-,16.923.725,59.920,16.983.645,,,,,,,,16923725.0,59920.0,16983645.0
Chuyên tử quỹ dự trữ sang vốn khác (Giảm) do chuyên đối báo cáo tài chính cho mục đích hợp nhất,Chuyên tử quỹ dự trữ sang vốn khác (Giảm) do chuyên đối báo cáo tài chính cho mục đích hợp nhất,Chuyên tử quỹ dự trữ sang vốn khác (Giảm) do chuyên đối báo cáo tài chính cho mục đích hợp nhất,-,-,64.390,-,-,(42.815),(42.815),-,-,(21.240),,,64390.0,,,-42815.0,-42815.0,,,-21240.0
Chuyên tử quỹ dự trữ sang vốn khác (Giảm) do chuyên đối báo cáo tài chính cho mục đích hợp nhất,Chuyên tử quỹ dự trữ sang vốn khác (Giảm) do chuyên đối báo cáo tài chính cho mục đích hợp nhất,Chuyên tử quỹ dự trữ sang vốn khác (Giảm) do chuyên đối báo cáo tài chính cho mục đích hợp nhất,-,-,-,(124.238),(7.038),(15.503),-,-,-,(146.779),,,,-124238.0,-7038.0,-15503.0,,,,-146779.0
Điều chỉnh trích lập quỹ của các năm tài chính trước,Điều chỉnh trích lập quỹ của các năm tài chính trước,Điều chỉnh trích lập quỹ của các năm tài chính trước,-,-,-,-,-,2.286,1.143,(3.429),-,-,,,,,,2286.0,1143.0,-3429.0,,
Tạm trích quỹ trong năm,Tạm trích quỹ trong năm,Tạm trích quỹ trong năm,-,-,-,-,12.292,1.658.416,835.465,(2.506.173),-,-,,,,,12292.0,1658416.0,835465.0,-2506173.0,,
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,255.734,-,-,-,-,(255.734),-,-,,,255734.0,,,,,-255734.0,,
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,-,-,-,(2.026.477),(15.238),(2.041.715),,,,,,,,-2026477.0,-15238.0,-2041715.0
Khác,Khác,Khác,-,(21),-,-,-,-,(64),(107.022),(7),(107.114),,-21.0,,,,,-64.0,-107022.0,-7.0,-107114.0
Số dư đầu năm nay (Trình bày lại),Số dư đầu năm nay (Trình bày lại),Số dư đầu năm nay (Trình bày lại),48.057.506,8.974.677,836.032,120.993,75.825,10.628.682,5.370.125,33.513.021,739.447,108.316.308,48057506.0,8974677.0,836032.0,120993.0,75825.0,10628682.0,5370125.0,33513021.0,739447.0,108316308.0
Tăng vốn từ chia cổ tức (Thuyết minh 24.4),Tăng vốn từ chia cổ tức (Thuyết minh 24.4),Tăng vốn từ chia cổ tức (Thuyết minh 24.4),5.642.411,-,-,-,-,-,-,(5.642.411),-,-,5642411.0,,,,,,,-5642411.0,,
Lợi nhuận trong năm (Giảm) do chuyển đổi báo cáo tài chính cho mục đích hợp nhất,Lợi nhuận trong năm (Giảm) do chuyển đổi báo cáo tài chính cho mục đích hợp nhất,Lợi nhuận trong năm (Giảm) do chuyển đổi báo cáo tài chính cho mục đích hợp nhất,-,-,-,-,-,-,-,19.903.550,141.072,20.076.622,,,,,,,,19903550.0,141072.0,20076622.0
Lợi nhuận trong năm (Giảm) do chuyển đổi báo cáo tài chính cho mục đích hợp nhất,Lợi nhuận trong năm (Giảm) do chuyển đổi báo cáo tài chính cho mục đích hợp nhất,Lợi nhuận trong năm (Giảm) do chuyển đổi báo cáo tài chính cho mục đích hợp nhất,-,-,-,(34.023),(2.275),(4.763),-,(18.018),-,(59.079),,,,-34023.0,-2275.0,-4763.0,,-18018.0,,-59079.0
