row_label_raw,row_label_full,col_0,Ảnh hưởng,Ảnh hưởng_1,numeric__Ảnh hưởng,numeric__Ảnh hưởng_1
,,,Tuyết đối Tỷ VND,Tương đối %,,
Khoản mục có biến động chủ yếu,Khoản mục có biến động chủ yếu,Khoản mục có biến động chủ yếu,Khoản mục có biến động chủ yếu,Khoản mục có biến động chủ yếu,,
Tăng thu nhập lãi thuần,Khoản mục có biến động chủ yếu > Tăng thu nhập lãi thuần,Tăng thu nhập lãi thuần,4.919,24%,4919.0,0.24
Tăng chi phí dự phòng rủi ro tín dụng,Khoản mục có biến động chủ yếu > Tăng chi phí dự phòng rủi ro tín dụng,Tăng chi phí dự phòng rủi ro tín dụng,1.268,6%,1268.0,0.06
Tổng,Khoản mục có biến động chủ yếu > Tổng,Tổng,3.651,18%,3651.0,0.18
