row_label_raw,row_label_full,Chỉ tiêu,Năm trước(Số liệu đã công bố),Số điều chỉnhcủa KTNN,Năm trước(Trình bày lại),numeric__Năm trước(Số liệu đã công bố),numeric__Số điều chỉnhcủa KTNN,numeric__Năm trước(Trình bày lại)
,,,Triệu VND,Triệu VND,Triệu VND,,,
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,7.506.525,486,7.507.011,7506525.0,486.0,7507011.0
Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,6.537.368,486,6.537.854,6537368.0,486.0,6537854.0
Chi phí hoạt động,Chi phí hoạt động,Chi phí hoạt động,(19.007.454),(187.260),(19.194.714),-19007454.0,-187260.0,-19194714.0
Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,45.109.236,(186.774),44.922.462,45109236.0,-186774.0,44922462.0
Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,(24.163.177),372.588,(23.790.589),-24163177.0,372588.0,-23790589.0
Tổng lợi nhuận trước thuế,Tổng lợi nhuận trước thuế,Tổng lợi nhuận trước thuế,20.946.059,185.814,21.131.873,20946059.0,185814.0,21131873.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,(4.110.614),(37.163),(4.147.777),-4110614.0,-37163.0,-4147777.0
Chi phí thuế TNDN,Chi phí thuế TNDN,Chi phí thuế TNDN,(4.111.065),(37.163),(4.148.228),-4111065.0,-37163.0,-4148228.0
Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,16.834.994,148.651,16.983.645,16834994.0,148651.0,16983645.0
Lợi nhuận thuần của chủ sở hữu,Lợi nhuận thuần của chủ sở hữu,Lợi nhuận thuần của chủ sở hữu,16.775.074,148.651,16.923.725,16775074.0,148651.0,16923725.0
