row_label_raw,row_label_full,STT,CHỈ TIÊU,Thuyết minh,Số cuối năm,Đơn vị: Triệu VND,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Đơn vị: Triệu VND
A.,A.,A.,TÀI SẢN,,,,,,,
I.,A. > I.,I.,"Tiền mặt, vàng bạc, đá quý",5,9.759.580,11.066.956,,5.0,9759580.0,11066956.0
II.,A. > II.,II.,Tiền gửi tại Ngân hàng Nhà nước (NHNN),6,40.597.059,29.727.110,,6.0,40597059.0,29727110.0
III.,A. > III.,III.,Tiền gửi và cho vay các TCTD khác,7,279.841.639,242.431.953,,7.0,279841639.0,242431953.0
1.,A. > 1.,1.,Tiền gửi tại các TCTD khác,,259.230.017,222.454.660,,,259230017.0,222454660.0
2.,A. > 2.,2.,Cho vay các TCTD khác,,20.611.622,19.977.293,,,20611622.0,19977293.0
IV.,A. > IV.,IV.,Chứng khoán kinh doanh,8,2.487.905,1.406.183,,8.0,2487905.0,1406183.0
1.,A. > 1.,1.,Chứng khoán kinh doanh,,2.676.130,1.622.967,,,2676130.0,1622967.0
2.,A. > 2.,2.,Dự phòng rủi ro chứng khoán kinh doanh,,(188.225),(216.784),,,-188225.0,-216784.0
V.,A. > V.,V.,Các công cụ tài chính phải sinh và các tài sản tài chính khác,9,-,3.058.727,,9.0,,3058727.0
VI.,A. > VI.,VI.,Cho vay khách hàng,,1.445.571.643,1.245.430.464,,,1445571643.0,1245430464.0
1.,A. > 1.,1.,Cho vay khách hàng,10,1.473.344.564,1.274.843.694,,10.0,1473344564.0,1274843694.0
2.,A. > 2.,2.,Dự phòng rủi ro cho vay khách hàng,11,(27.772.921),(29.413.230),,11.0,-27772921.0,-29413230.0
VII.,A. > VII.,VII.,Chứng khoán đầu tư,12,181.210.531,180.312.848,,12.0,181210531.0,180312848.0
1.,A. > 1.,1.,Chứng khoán đầu tư sẵn sàng để bán,12.1,180.595.473,178.685.028,,121.0,180595473.0,178685028.0
2.,A. > 2.,2.,Chứng khoán đầu tư giữ đến ngày đáo hạn,12.2,864.999,1.696.778,,122.0,864999.0,1696778.0
3.,A. > 3.,3.,Dự phòng rủi ro chứng khoán đầu tư,,(249.941),(68.958),,,-249941.0,-68958.0
VIII.,A. > VIII.,VIII.,"Góp vốn, đầu tư dài hạn",13,3.426.483,3.519.441,,13.0,3426483.0,3519441.0
1.,A. > 1.,1.,Vốn góp liên doanh,13.1,3.206.452,3.303.160,,131.0,3206452.0,3303160.0
2.,A. > 2.,2.,Đầu tư dài hạn khác,,234.462,234.462,,,234462.0,234462.0
3.,A. > 3.,3.,Dự phòng giảm giá đầu tư dài hạn,,(14.431),(18.181),,,-14431.0,-18181.0
IX.,A. > IX.,IX.,Tài sản cố định,,10.125.534,10.203.357,,,10125534.0,10203357.0
1.,A. > 1.,1.,Tài sản cố định hữu hình,14,6.133.262,6.047.853,,14.0,6133262.0,6047853.0
a.,A. > a.,a.,Nguyên giá TSCĐ,,16.641.464,16.191.223,,,16641464.0,16191223.0
b.,A. > b.,b.,Hao mòn TSCĐ,,(10.508.202),(10.143.370),,,-10508202.0,-10143370.0
2.,A. > 2.,2.,Tài sản cố định vô hình,15,3.992.272,4.155.504,,15.0,3992272.0,4155504.0
a.,A. > a.,a.,Nguyên gió TSCĐ,,6.804.407,6.779.297,,,6804407.0,6779297.0
b.,A. > b.,b.,Hao mòn TSCĐ,,(2.812.135),(2.623.793),,,-2812135.0,-2623793.0
X.,A. > X.,X.,Tài sản Có khác,16,59.593.232,81.653.829,,16.0,59593232.0,81653829.0
1.,A. > 1.,1.,Các khoản phải thu,16.1,41.454.754,65.993.812,,161.0,41454754.0,65993812.0
2.,A. > 2.,2.,"Các khoản lãi, phí phải thu",,14.761.581,12.399.295,,,14761581.0,12399295.0
3.,A. > 3.,3.,Tài sản Có khác,16.2,3.483.594,3.322.348,,162.0,3483594.0,3322348.0
4.,A. > 4.,4.,Dự phòng rủi ro cho các tài sản Có nội bằng khác,16.3,(106.697),(61.626),,163.0,-106697.0,-61626.0
TỔNG TÀI SẢN CÓ,A. > TỔNG TÀI SẢN CÓ,TỔNG TÀI SẢN CÓ,TỔNG TÀI SẢN CÓ,TỔNG TÀI SẢN CÓ,2.032.613.606,1.808.810.868,,,2032613606.0,1808810868.0
