row_label_raw,row_label_full,col_0,Tổng giá trị ghi số kế toán(theo tỷ giá tại ngày lập báo cáo tài chính hợp nhất) > Tài sản,Tổng giá trị ghi số kế toán(theo tỷ giá tại ngày lập báo cáo tài chính hợp nhất) > Công nợ,Tổng giá trị ghi số kế toán(theo tỷ giá tại ngày lập báo cáo tài chính hợp nhất) > Giá trị thuần,numeric__Tổng giá trị ghi số kế toán(theo tỷ giá tại ngày lập báo cáo tài chính hợp nhất) > Tài sản,numeric__Tổng giá trị ghi số kế toán(theo tỷ giá tại ngày lập báo cáo tài chính hợp nhất) > Công nợ,numeric__Tổng giá trị ghi số kế toán(theo tỷ giá tại ngày lập báo cáo tài chính hợp nhất) > Giá trị thuần
,,,Triệu VND,Triệu VND,Triệu VND,,,
Tại ngày 31/12/2023,Tại ngày 31/12/2023,Tại ngày 31/12/2023,Tại ngày 31/12/2023,Tại ngày 31/12/2023,Tại ngày 31/12/2023,,,
Công cụ tài chính phải sinh tiền tệ,Tại ngày 31/12/2023 > Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,-,(467.558),(467.558),,-467558.0,-467558.0
- Giao dịch kỳ hạn tiền tệ,Tại ngày 31/12/2023 > - Giao dịch kỳ hạn tiền tệ,- Giao dịch kỳ hạn tiền tệ,-,(347.868),(347.868),,-347868.0,-347868.0
- Giao dịch hoán đối tiền tệ,Tại ngày 31/12/2023 > - Giao dịch hoán đối tiền tệ,- Giao dịch hoán đối tiền tệ,-,(119.690),(119.690),,-119690.0,-119690.0
Công cụ tài chính phải sinh lãi suất,Tại ngày 31/12/2023 > Công cụ tài chính phải sinh lãi suất,Công cụ tài chính phải sinh lãi suất,-,(88.388),(88.388),,-88388.0,-88388.0
,,,-,(555.946),(555.946),,-555946.0,-555946.0
Tại ngày 31/12/2022,Tại ngày 31/12/2022,Tại ngày 31/12/2022,Tại ngày 31/12/2022,Tại ngày 31/12/2022,Tại ngày 31/12/2022,,,
Công cụ tài chính phải sinh tiền tệ,Tại ngày 31/12/2022 > Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,3.150.003,-,3.150.003,3150003.0,,3150003.0
- Giao dịch kỳ hạn tiền tệ,Tại ngày 31/12/2022 > - Giao dịch kỳ hạn tiền tệ,- Giao dịch kỳ hạn tiền tệ,127.406,-,127.406,127406.0,,127406.0
- Giao dịch hoán đối tiền tệ,Tại ngày 31/12/2022 > - Giao dịch hoán đối tiền tệ,- Giao dịch hoán đối tiền tệ,3.022.597,-,3.022.597,3022597.0,,3022597.0
Công cụ tài chính phải sinh lãi suất,Tại ngày 31/12/2022 > Công cụ tài chính phải sinh lãi suất,Công cụ tài chính phải sinh lãi suất,-,(91.276),(91.276),,-91276.0,-91276.0
,,,3.150.003,(91.276),3.058.727,3150003.0,-91276.0,3058727.0
