row_label_raw,row_label_full,col_0,Dự phòng chứng khoánđầu tư sẵn sàng để bán,Dự phòng chứng khoánđầu tư sẵn sàng để bán_1,Dự phòng chứng khoánđầu tư sẵn sàng để bán_2,Dự phòng chứng khoánđầu tư giữ đến ngày đáo hạn,Dự phòng chứng khoánđầu tư giữ đến ngày đáo hạn_1,Dự phòng chứng khoánđầu tư giữ đến ngày đáo hạn_2,numeric__Dự phòng chứng khoánđầu tư sẵn sàng để bán,numeric__Dự phòng chứng khoánđầu tư sẵn sàng để bán_1,numeric__Dự phòng chứng khoánđầu tư sẵn sàng để bán_2,numeric__Dự phòng chứng khoánđầu tư giữ đến ngày đáo hạn,numeric__Dự phòng chứng khoánđầu tư giữ đến ngày đáo hạn_1,numeric__Dự phòng chứng khoánđầu tư giữ đến ngày đáo hạn_2
,,,Dự phòngchung,Dự phòngcụ thể,Dự phònggiảm giá,Dự phòngchung,Dự phòngcụ thể,Tổng cộng,,,,,,
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,70.838,-,51.189,3.726,-,125.753,70838.0,,51189.0,3726.0,,125753.0
Dự phòng (hoànnhập) trong năm,Dự phòng (hoànnhập) trong năm,Dự phòng (hoànnhập) trong năm,(40.963),-,(15.832),-,-,(56.795),-40963.0,,-15832.0,,,-56795.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,29.875,-,35.357,3.726,-,68.958,29875.0,,35357.0,3726.0,,68958.0
