row_label_raw,row_label_full,STT,CHỈ TIÊU,Dịch vụ tài chínhngắn hàng > Triệu VND,Dịch vụ tài chínhphí ngân hàng > Triệu VND,Khác > Triệu VND,Điều chính > Triệu VND,Tổng cộng > Triệu VND,numeric__CHỈ TIÊU,numeric__Dịch vụ tài chínhngắn hàng > Triệu VND,numeric__Dịch vụ tài chínhphí ngân hàng > Triệu VND,numeric__Khác > Triệu VND,numeric__Điều chính > Triệu VND,numeric__Tổng cộng > Triệu VND
I.,I.,I.,Doanh thu,157.500.411,4.093.296,2.387.205,(1.053.828),162.927.084,,157500411.0,4093296.0,2387205.0,-1053828.0,162927084.0
1.,1.,1.,Doanh thu lãi,131.366.872,993.874,533.458,(222.467),132.671.737,,131366872.0,993874.0,533458.0,-222467.0,132671737.0
,,,- Doanh thu lãi từ khách hàng bên ngoài,131.185.790,953.586,532.362,(1),132.671.737,,131185790.0,953586.0,532362.0,-1.0,132671737.0
,,,- Doanh thu lãi từ nội bộ,181.082,40.288,1.096,(222.466),-,,181082.0,40288.0,1096.0,-222466.0,
2.,2.,2.,Doanh thu từ hoạt động dịch vụ,9.621.571,3.085.003,121.932,(443.670),12.384.836,,9621571.0,3085003.0,121932.0,-443670.0,12384836.0
3.,3.,3.,Doanh thu từ hoạt động kinh doanh khác,16.511.968,14.419,1.731.815,(387.691),17.870.511,,16511968.0,14419.0,1731815.0,-387691.0,17870511.0
II.,II.,II.,Chi phí,(108.012.191),(3.443.755),(2.047.891),681.419,(112.822.418),,-108012191.0,-3443755.0,-2047891.0,681419.0,-112822418.0
1.,1.,1.,Chi phí lãi,(79.325.504),(303.458),(307.764),222.467,(79.714.259),,-79325504.0,-303458.0,-307764.0,222467.0,-79714259.0
,,,- Chi phí lãi khách hàng bên ngoài,(79.263.176),(143.320),(307.764),1,(79.714.259),,-79263176.0,-143320.0,-307764.0,1.0,-79714259.0
,,,- Chi phí lãi nội bộ,(62.328),(160.138),-,222.466,-,,-62328.0,-160138.0,,222466.0,
2.,2.,2.,Chi phí khấu hao tài sản cố định,(979.693),(12.931),(6.664),-,(999.288),,-979693.0,-12931.0,-6664.0,,-999288.0
3.,3.,3.,Chi phí liên quan trực tiếp đến hoạt động kinh doanh,(27.706.994),(3.127.366),(1.733.463),458.952,(32.108.871),,-27706994.0,-3127366.0,-1733463.0,458952.0,-32108871.0
Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,49.488.220,649.541,339.314,(372.409),50.104.666,,49488220.0,649541.0,339314.0,-372409.0,50104666.0
Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,(24.999.529),(120.043),(9.500),13.931,(25.115.141),,-24999529.0,-120043.0,-9500.0,13931.0,-25115141.0
Kết quả kinh doanh bộ phận trước thuế,Kết quả kinh doanh bộ phận trước thuế,Kết quả kinh doanh bộ phận trước thuế,Kết quả kinh doanh bộ phận trước thuế,24.488.691,529.498,329.814,(358.478),24.989.525,,24488691.0,529498.0,329814.0,-358478.0,24989525.0
Chi phí thuế TNDN,Chi phí thuế TNDN,Chi phí thuế TNDN,Chi phí thuế TNDN,(4.758.976),(120.573),(65.294),(1),(4.944.844),,-4758976.0,-120573.0,-65294.0,-1.0,-4944844.0
Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,-,(59),-,-,(59),,,-59.0,,,-59.0
Kết quả kinh doanh bộ phận sau thuế,Kết quả kinh doanh bộ phận sau thuế,Kết quả kinh doanh bộ phận sau thuế,Kết quả kinh doanh bộ phận sau thuế,19.729.715,408.866,264.520,(358.479),20.044.622,,19729715.0,408866.0,264520.0,-358479.0,20044622.0
III.,III.,III.,Tài sản,2.017.567.233,13.847.700,8.463.678,(7.265.005),2.032.613.606,,2017567233.0,13847700.0,8463678.0,-7265005.0,2032613606.0
1.,1.,1.,Tiền mặt,9.698.230,1.461,59.889,-,9.759.580,,9698230.0,1461.0,59889.0,,9759580.0
2.,2.,2.,Tài sản cố định,9.975.822,80.907,68.805,-,10.125.534,,9975822.0,80907.0,68805.0,,10125534.0
3.,3.,3.,Tài sản khác,1.997.893.181,13.765.332,8.334.984,(7.265.005),2.012.728.492,,1997893181.0,13765332.0,8334984.0,-7265005.0,2012728492.0
IV.,IV.,IV.,Nợ phải trả,1.894.473.752,10.301.285,6.501.611,(4.534.862),1.906.741.786,,1894473752.0,10301285.0,6501611.0,-4534862.0,1906741786.0
1.,1.,1.,Nợ phải trả bên ngoài,1.888.068.751,10.123.791,6.462.544,(4.534.953),1.900.120.133,,1888068751.0,10123791.0,6462544.0,-4534953.0,1900120133.0
2.,2.,2.,Nợ phải trả nội bộ,6.405.001,177.494,39.067,91,6.621.653,,6405001.0,177494.0,39067.0,91.0,6621653.0
