row_label_raw,row_label_full,col_0,Năm nay,Năm trước (Trình bày lại),Năm trước (Đã trình bày),numeric__Năm nay,numeric__Năm trước (Trình bày lại),numeric__Năm trước (Đã trình bày)
,,,Triệu VND,Triệu VND,Triệu VND,,,
Lợi nhuận sau thuế,Lợi nhuận sau thuế,Lợi nhuận sau thuế,19.903.550,16.923.725,16.775.074,19903550.0,16923725.0,16775074.0
"Trích lập các quỹ khen thưởng, phúc lợi (*)","Trích lập các quỹ khen thưởng, phúc lợi (*)","Trích lập các quỹ khen thưởng, phúc lợi (*)",-,(2.409.538),-,,-2409538.0,
Lợi nhuận phân bố cho cổ đông sở hữu cổ phiếu phổ thông,Lợi nhuận phân bố cho cổ đông sở hữu cổ phiếu phổ thông,Lợi nhuận phân bố cho cổ đông sở hữu cổ phiếu phổ thông,19.903.550,14.514.187,16.775.074,19903550.0,14514187.0,16775074.0
