row_label_raw,row_label_full,col_0,Số cuối năm,Số đầu năm(Trình bày lại),numeric__Số cuối năm,numeric__Số đầu năm(Trình bày lại)
,,,Triệu VND,Triệu VND,,
"Nông nghiệp, lâm nghiệp và thủy sản","Nông nghiệp, lâm nghiệp và thủy sản","Nông nghiệp, lâm nghiệp và thủy sản",48.414.349,46.625.378,48414349.0,46625378.0
Khai khoáng,Khai khoáng,Khai khoáng,8.714.467,9.933.405,8714467.0,9933405.0
Sản xuất và gia công chế biến,Sản xuất và gia công chế biến,Sản xuất và gia công chế biến,305.193.312,269.186.570,305193312.0,269186570.0
"Sản xuất và phân phối điện, khí đốt và nước","Sản xuất và phân phối điện, khí đốt và nước","Sản xuất và phân phối điện, khí đốt và nước",67.775.596,64.515.281,67775596.0,64515281.0
Xây dựng,Xây dựng,Xây dựng,80.341.729,87.356.195,80341729.0,87356195.0
"Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có động cơ khác","Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có động cơ khác","Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có động cơ khác",550.695.326,437.098.865,550695326.0,437098865.0
Vận tải kho bãi và thông tin liên lạc,Vận tải kho bãi và thông tin liên lạc,Vận tải kho bãi và thông tin liên lạc,30.068.029,23.669.902,30068029.0,23669902.0
"Thương mại, dịch vụ","Thương mại, dịch vụ","Thương mại, dịch vụ",259.757.577,237.775.449,259757577.0,237775449.0
"Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vật chất và dịch vụ tự tiêu dùng của hộ gia đình","Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vật chất và dịch vụ tự tiêu dùng của hộ gia đình","Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vật chất và dịch vụ tự tiêu dùng của hộ gia đình",74.853.804,68.869.423,74853804.0,68869423.0
Ngành khác,Ngành khác,Ngành khác,47.530.375,29.813.226,47530375.0,29813226.0
,,,1.473.344.564,1.274.843.694,1473344564.0,1274843694.0
