row_label_raw,row_label_full,Bà Lê Anh Hà,Trường Ban Kiểm soát,numeric__Trường Ban Kiểm soát
Bà Nguyễn Thị Anh Thư,Bà Nguyễn Thị Anh Thư,Bà Nguyễn Thị Anh Thư,Thành viên,
Bà Phạm Thị Thơm,Bà Phạm Thị Thơm,Bà Phạm Thị Thơm,Thành viên,
