row_label_raw,row_label_full,Hội đồng Quản trị,Bà Chu Thị Bình > Ông Lê Văn Quang,Chủ tịch(từ ngày 1 tháng 8 năm 2020)Phó Chủ tịch(đến ngày 1 tháng 8 năm 2020) > Chủ tịch(đến ngày 1 tháng 8 năm 2020)Thành viên(từ ngày 1 tháng 8 năm 2020),numeric__Bà Chu Thị Bình > Ông Lê Văn Quang,numeric__Chủ tịch(từ ngày 1 tháng 8 năm 2020)Phó Chủ tịch(đến ngày 1 tháng 8 năm 2020) > Chủ tịch(đến ngày 1 tháng 8 năm 2020)Thành viên(từ ngày 1 tháng 8 năm 2020)
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Ông Lê Văn ĐiệpÔng Phan Thanh LộcBà Hồ Thu LêÔng Bùi Anh DũngÔng Osada TsutomuÔng Nguyễn Nhân NghĩaÔng Nagoya Yutaka,Thành viênThành viênThành viênThành viênThành viênThành viên,,
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Ông Tsukahara Keiichi,Thành viên(đến ngày 27 tháng 6 năm 2020)Thành viên(đến ngày 27 tháng 6 năm 2020),,
