row_label_raw,row_label_full,col_0,Nhà cửa VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Thiết bị văn phòng VND,Tổng VND,numeric__Nhà cửa VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Thiết bị văn phòng VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,119.399.147.627,293.703.617.111,57.458.391.637,14.477.149.145,485.038.305.520,119399147627.0,293703617111.0,57458391637.0,14477149145.0,485038305520.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,1.032.580.013,20.645.424.250,4.815.959.128,702.860.636,27.196.824.027,1032580013.0,20645424250.0,4815959128.0,702860636.0,27196824027.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,-,-,4.499.000.000,-,4.499.000.000,,,4499000000.0,,4499000000.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(17.859.145.250),(505.848.475),-,(18.364.993.725),,-17859145250.0,-505848475.0,,-18364993725.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,120.431.727.640,296.489.896.111,66.267.502.290,15.180.009.781,498.369.135.822,120431727640.0,296489896111.0,66267502290.0,15180009781.0,498369135822.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,72.834.565.706,179.024.591.666,32.587.587.745,10.527.725.902,294.974.471.019,72834565706.0,179024591666.0,32587587745.0,10527725902.0,294974471019.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,6.536.363.428,24.075.676.183,4.857.455.562,1.365.765.635,36.835.260.808,6536363428.0,24075676183.0,4857455562.0,1365765635.0,36835260808.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,-,(505.848.475),-,(505.848.475),,,-505848475.0,,-505848475.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,79.370.929.134,203.100.267.849,36.939.194.832,11.893.491.537,331.303.883.352,79370929134.0,203100267849.0,36939194832.0,11893491537.0,331303883352.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,46.564.581.921,114.679.025.445,24.870.803.892,3.949.423.243,190.063.834.501,46564581921.0,114679025445.0,24870803892.0,3949423243.0,190063834501.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,41.060.798.506,93.389.628.262,29.328.307.458,3.286.518.244,167.065.252.470,41060798506.0,93389628262.0,29328307458.0,3286518244.0,167065252470.0
