row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2020,Chế biến sản phẩm thủy sản VND,Kinh doanh sản phẩm thủy sản VND,Tổng VND,numeric__Chế biến sản phẩm thủy sản VND,numeric__Kinh doanh sản phẩm thủy sản VND,numeric__Tổng VND
Tải sản của bộ phận,Tải sản của bộ phận,Tải sản của bộ phận,2.210.399.128.611,66.599.109.627,2.276.998.238.238,2210399128611.0,66599109627.0,2276998238238.0
Tải sản không phân bổ,Tải sản không phân bổ,Tải sản không phân bổ,,,5.182.449.654.640,,,5182449654640.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,,,7.459.447.892.878,,,7459447892878.0
Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,83.301.306.384,33.753.180.635,117.054.487.019,83301306384.0,33753180635.0,117054487019.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,1.866.382.193.840,,,1866382193840.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,,,1.983.436.680.859,,,1983436680859.0
Cho năm kết thúc ngày 31 tháng 12 năm 2020,Cho năm kết thúc ngày 31 tháng 12 năm 2020,Cho năm kết thúc ngày 31 tháng 12 năm 2020,,,,,,
Chỉ tiêu vốn,Cho năm kết thúc ngày 31 tháng 12 năm 2020 > Chỉ tiêu vốn,Chỉ tiêu vốn,41.310.475.390,-,41.310.475.390,41310475390.0,,41310475390.0
Khấu hao,Cho năm kết thúc ngày 31 tháng 12 năm 2020 > Khấu hao,Khấu hao,38.242.838.087,-,38.242.838.087,38242838087.0,,38242838087.0
Tại ngày 1 tháng 1 năm 2020,Tại ngày 1 tháng 1 năm 2020,Tại ngày 1 tháng 1 năm 2020,Chế biến sản phẩm thủy sản VND,Kinh doanh sản phẩm thủy sản VND,Tổng VND,,,
Tải sản của bộ phận,Tại ngày 1 tháng 1 năm 2020 > Tải sản của bộ phận,Tải sản của bộ phận,2.117.932.319.301,102.220.663.904,2.220.152.983.205,2117932319301.0,102220663904.0,2220152983205.0
Tải sản không phân bổ,Tại ngày 1 tháng 1 năm 2020 > Tải sản không phân bổ,Tải sản không phân bổ,,,4.602.569.384.979,,,4602569384979.0
Tổng tài sản,Tại ngày 1 tháng 1 năm 2020 > Tổng tài sản,Tổng tài sản,,,6.822.722.368.184,,,6822722368184.0
Nợ phải trả của bộ phận,Tại ngày 1 tháng 1 năm 2020 > Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,78.566.745.886,-,78.566.745.886,78566745886.0,,78566745886.0
Nợ phải trả không phân bổ,Tại ngày 1 tháng 1 năm 2020 > Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,1.447.593.959.539,,,1447593959539.0
Tổng nợ phải trả,Tại ngày 1 tháng 1 năm 2020 > Tổng nợ phải trả,Tổng nợ phải trả,,,1.526.160.705.425,,,1526160705425.0
Cho năm kết thúc ngày 31 tháng 12 năm 2019,Cho năm kết thúc ngày 31 tháng 12 năm 2019,Cho năm kết thúc ngày 31 tháng 12 năm 2019,,,,,,
Chỉ tiêu vốn,Cho năm kết thúc ngày 31 tháng 12 năm 2019 > Chỉ tiêu vốn,Chỉ tiêu vốn,21.539.113.655,-,21.539.113.655,21539113655.0,,21539113655.0
Khấu hao,Cho năm kết thúc ngày 31 tháng 12 năm 2019 > Khấu hao,Khấu hao,40.141.269.524,-,40.141.269.524,40141269524.0,,40141269524.0
