row_label_raw,row_label_full,Ngày 31 tháng 12 năm 2020,Địa chỉ,% sở hữu,% lợi ích kinh tế,Giá gốc VND,Dự phòng giảm giá VND,Giá trị hợp lý VND,numeric__Địa chỉ,numeric__% sở hữu,numeric__% lợi ích kinh tế,numeric__Giá gốc VND,numeric__Dự phòng giảm giá VND,numeric__Giá trị hợp lý VND
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,,,,
▪ Công ty TNHH Dịch vụ Kỹ thuật Nuôi trồng Thủy sản Minh Phú Aquamekong,Công ty liên kết > ▪ Công ty TNHH Dịch vụ Kỹ thuật Nuôi trồng Thủy sản Minh Phú Aquamekong,▪ Công ty TNHH Dịch vụ Kỹ thuật Nuôi trồng Thủy sản Minh Phú Aquamekong,"Thành phố Hồ Chí Minh, Việt Nam","49,0%","49,0%",3.900.000.000,-,(vi),,0.49,0.49,3900000000.0,,
Đơn vị khác,Đơn vị khác,Đơn vị khác,Đơn vị khác,Đơn vị khác,Đơn vị khác,Đơn vị khác,Đơn vị khác,Đơn vị khác,,,,,,
▪ Công ty Cổ phần Hạ tầng Sài Gòn – Cà Mau,Đơn vị khác > ▪ Công ty Cổ phần Hạ tầng Sài Gòn – Cà Mau,▪ Công ty Cổ phần Hạ tầng Sài Gòn – Cà Mau,"Tỉnh Cà Mau, Việt Nam","10,0%","10,0%",7.000.000.000,(111.246.470),(vi),,0.1,0.1,7000000000.0,-111246470.0,
,,,,,,3.749.160.328.062,(364.469.944.156),,,,,3749160328062.0,-364469944156.0,
