row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Cổ phiếu quỹ VND,Quỹ dự trữ bổ sung vốn điều lệ VND,Quỹ dự phòng tài chính và rủi ro nghiệp vụ VND,Quỹ khác thuộc vốn chủ sở hữu VND,Lợi nhuận chưa phân phối VND,Tổng cộng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Cổ phiếu quỹ VND,numeric__Quỹ dự trữ bổ sung vốn điều lệ VND,numeric__Quỹ dự phòng tài chính và rủi ro nghiệp vụ VND,numeric__Quỹ khác thuộc vốn chủ sở hữu VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Tổng cộng VND
Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,1.221.242.800.000,(4.785.700),4.996.355.740,4.986.371.640,-,92.956.182.231,1.324.176.923.911,1221242800000.0,-4785700.0,4996355740.0,4986371640.0,,92956182231.0,1324176923911.0
Lợi nhuận sau thuế,Lợi nhuận sau thuế,Lợi nhuận sau thuế,-,-,-,-,-,23.962.926.275,23.962.926.275,,,,,,23962926275.0,23962926275.0
Mua cổ phiếu quỹ,Mua cổ phiếu quỹ,Mua cổ phiếu quỹ,-,(7.728.000),-,-,-,-,(7.728.000),,-7728000.0,,,,,-7728000.0
Trích lập quỹ,Trích lập quỹ,Trích lập quỹ,-,-,1.198.146.314,1.198.146.314,832.692.247,(5.727.061.616),(2.498.076.741),,,1198146314.0,1198146314.0,832692247.0,-5727061616.0,-2498076741.0
Chỉ trả cổ tức,Chỉ trả cổ tức,Chỉ trả cổ tức,-,-,-,-,-,(61.061.501.000),(61.061.501.000),,,,,,-61061501000.0,-61061501000.0
Số dư tại ngày 31 tháng 12 năm 2017,Số dư tại ngày 31 tháng 12 năm 2017,Số dư tại ngày 31 tháng 12 năm 2017,1.221.242.800.000,(12.513.700),6.194.502.054,6.184.517.954,832.692.247,50.130.545.890,1.284.572.544.445,1221242800000.0,-12513700.0,6194502054.0,6184517954.0,832692247.0,50130545890.0,1284572544445.0
Lợi nhuận sau thuế,Lợi nhuận sau thuế,Lợi nhuận sau thuế,-,-,-,-,-,177.352.227.432,177.352.227.432,,,,,,177352227432.0,177352227432.0
Mua cổ phiếu quỹ,Mua cổ phiếu quỹ,Mua cổ phiếu quỹ,-,(92.101.000),-,-,-,-,(92.101.000),,-92101000.0,,,,,-92101000.0
Trích lập quỹ,Trích lập quỹ,Trích lập quỹ,-,-,8.867.611.372,8.867.611.372,718.887.788,(19.891.886.108),(1.437.775.576),,,8867611372.0,8867611372.0,718887788.0,-19891886108.0,-1437775576.0
Tăng khác,Tăng khác,Tăng khác,-,-,-,-,77.402.270,-,77.402.270,,,,,77402270.0,,77402270.0
Số dư tại ngày 31 tháng 12 năm 2018,Số dư tại ngày 31 tháng 12 năm 2018,Số dư tại ngày 31 tháng 12 năm 2018,1.221.242.800.000,(104.614.700),15.062.113.426,15.052.129.326,1.628.982.305,207.590.887.214,1.460.472.297.571,1221242800000.0,-104614700.0,15062113426.0,15052129326.0,1628982305.0,207590887214.0,1460472297571.0
