row_label_raw,row_label_full,col_0,Nội dung nghiệp vụ,Năm 2018Thu nhập/(Chi phí)VND,Năm 2017Thu nhập/(Chi phí)VND,numeric__Nội dung nghiệp vụ,numeric__Năm 2018Thu nhập/(Chi phí)VND,numeric__Năm 2017Thu nhập/(Chi phí)VND
Ngân hàng TMCPQuân đội,Ngân hàng TMCPQuân đội,Ngân hàng TMCPQuân đội,Thu lãi tiền gửi không kỳ hạn,948.253.682,816.908.836,,948253682.0,816908836.0
Ngân hàng TMCPQuân đội,Ngân hàng TMCPQuân đội,Ngân hàng TMCPQuân đội,Doanh thu phí quản lý cổ đông,600.000.000,600.000.000,,600000000.0,600000000.0
Ngân hàng TMCPQuân đội,Ngân hàng TMCPQuân đội,Ngân hàng TMCPQuân đội,Doanh thu phí hợp tác cho vay thanh toán tiền mua chứng khoán,36.668.654.292,39.650.000.000,,36668654292.0,39650000000.0
Ngân hàng TMCPQuân đội,Ngân hàng TMCPQuân đội,Ngân hàng TMCPQuân đội,Doanh thu tư vấn phát hành trái phiếu,100.000.000,-,,100000000.0,
Ngân hàng TMCPQuân đội,Ngân hàng TMCPQuân đội,Ngân hàng TMCPQuân đội,Doanh thu chuyển nhượng trái phiếu,173.000.000,-,,173000000.0,
Ngân hàng TMCPQuân đội,Ngân hàng TMCPQuân đội,Ngân hàng TMCPQuân đội,Chi phí thuê văn phòng,(780.382.663),(413.620.000),,-780382663.0,-413620000.0
Ngân hàng TMCPQuân đội,Ngân hàng TMCPQuân đội,Ngân hàng TMCPQuân đội,Chi phí môi giới MBS Bond,(11.743.000.000),-,,-11743000000.0,
Ngân hàng TMCPQuân đội,Ngân hàng TMCPQuân đội,Ngân hàng TMCPQuân đội,Chi phí tư vấn,-,(3.636.363.636),,,-3636363636.0
Ngân hàng TMCPQuân đội,Ngân hàng TMCPQuân đội,Ngân hàng TMCPQuân đội,Chi phí khác,-,(119.000.000),,,-119000000.0
Công ty TNHHQuản lý nợ và khai thác tài sản Ngân hàng TMCP Quân đội,Công ty TNHHQuản lý nợ và khai thác tài sản Ngân hàng TMCP Quân đội,Công ty TNHHQuản lý nợ và khai thác tài sản Ngân hàng TMCP Quân đội,Chi phí tiền điện và thuê văn phòng,(8.954.568.143),(2.381.006.765),,-8954568143.0,-2381006765.0
Công ty TNHH Bảo hiểm nhân thọ MB Ageas,Công ty TNHH Bảo hiểm nhân thọ MB Ageas,Công ty TNHH Bảo hiểm nhân thọ MB Ageas,Doanh thu cho thuê văn phòng,4.040.829.708,2.020.414.854,,4040829708.0,2020414854.0
Tổng Công ty cổ phần Bảo hiểmQuân đội,Tổng Công ty cổ phần Bảo hiểmQuân đội,Tổng Công ty cổ phần Bảo hiểmQuân đội,Chi phí bảo hiểm cho nhân viên,(1.585.161.444),(1.111.031.983),,-1585161444.0,-1111031983.0
Công ty Tài chínhTNHH MB SHINSEI,Công ty Tài chínhTNHH MB SHINSEI,Công ty Tài chínhTNHH MB SHINSEI,Thu lãi tiền gửi,1.068.493,229.777.778,,1068493.0,229777778.0
Công ty Tài chínhTNHH MB SHINSEI,Công ty Tài chínhTNHH MB SHINSEI,Công ty Tài chínhTNHH MB SHINSEI,Chi phí lãi vay,-,(17.062.499.999),,,-17062499999.0
Công ty Cổ phầnQuản lý Quý đầu tư MB,Công ty Cổ phầnQuản lý Quý đầu tư MB,Công ty Cổ phầnQuản lý Quý đầu tư MB,Doanh thu phí dịch vụ lưu ký chứng khoán,323.575.857,333.317.129,,323575857.0,333317129.0
Công ty Cổ phầnQuản lý Quý đầu tư MB,Công ty Cổ phầnQuản lý Quý đầu tư MB,Công ty Cổ phầnQuản lý Quý đầu tư MB,Phí tư vấn,-,(105.125.032),,,-105125032.0
"Hội đồng Quản trị,Ban Tổng Giám đốcvà Ban Kiểm soát","Hội đồng Quản trị,Ban Tổng Giám đốcvà Ban Kiểm soát","Hội đồng Quản trị,Ban Tổng Giám đốcvà Ban Kiểm soát","Tiền lương, thường vàthù lao",(21.809.505.897),(8.416.220.534),,-21809505897.0,-8416220534.0
