row_label_raw,row_label_full,Công ty CP ĐT TM Hoa Sen Việt Nam,31/12/2018VND > 592.620,31/12/2017VND > 592.620,numeric__31/12/2018VND > 592.620,numeric__31/12/2017VND > 592.620
Ngân hàng Thương mại Cổ phần Quân đội,Ngân hàng Thương mại Cổ phần Quân đội,Ngân hàng Thương mại Cổ phần Quân đội,10.953.000,10.953.000,10953000.0,10953000.0
Công ty CP du lịch Kim Liên,Công ty CP du lịch Kim Liên,Công ty CP du lịch Kim Liên,488.085,-,488085.0,
Phải trả tổ chức phát hành chứng khoán khác,Phải trả tổ chức phát hành chứng khoán khác,Phải trả tổ chức phát hành chứng khoán khác,2.099.871.279,448.967.279,2099871279.0,448967279.0
Tổng cộng,Tổng cộng,Tổng cộng,2.111.904.984,460.512.899,2111904984.0,460512899.0
