row_label_raw,row_label_full,col_0,Phần mềm máy tính VND,numeric__Phần mềm máy tính VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,
Ngày 1 tháng 1 năm 2018,Nguyên giá > Ngày 1 tháng 1 năm 2018,Ngày 1 tháng 1 năm 2018,7.664.604.300,7664604300.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,9.408.225.579,9408225579.0
Ngày 31 tháng 12 năm 2018,Nguyên giá > Ngày 31 tháng 12 năm 2018,Ngày 31 tháng 12 năm 2018,17.072.829.879,17072829879.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,
Ngày 1 tháng 1 năm 2018,Hao mòn lũy kế > Ngày 1 tháng 1 năm 2018,Ngày 1 tháng 1 năm 2018,2.267.945.060,2267945060.0
Hao mòn trong năm,Hao mòn lũy kế > Hao mòn trong năm,Hao mòn trong năm,2.425.582.180,2425582180.0
Ngày 31 tháng 12 năm 2018,Hao mòn lũy kế > Ngày 31 tháng 12 năm 2018,Ngày 31 tháng 12 năm 2018,4.693.527.240,4693527240.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,
Ngày 1 tháng 1 năm 2018,Giá trị còn lại > Ngày 1 tháng 1 năm 2018,Ngày 1 tháng 1 năm 2018,5.396.659.240,5396659240.0
Ngày 31 tháng 12 năm 2018,Giá trị còn lại > Ngày 31 tháng 12 năm 2018,Ngày 31 tháng 12 năm 2018,12.379.302.639,12379302639.0
