row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND","Máy móc,thiết bịVND",Phương tiệnvận tảiVND,Thiết bị dụng cụquản lýVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc,thiết bịVND",numeric__Phương tiệnvận tảiVND,numeric__Thiết bị dụng cụquản lýVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Ngày 1 tháng1 năm 2017,Nguyên giá > Ngày 1 tháng1 năm 2017,Ngày 1 tháng1 năm 2017,1.309.659.400,48.892.144.018,4.938.662.507,2.622.607.326,57.763.073.251,1309659400.0,48892144018.0,4938662507.0,2622607326.0,57763073251.0
Mua trongnăm,Nguyên giá > Mua trongnăm,Mua trongnăm,-,1.344.871.097,1.172.184.000,-,2.517.055.097,,1344871097.0,1172184000.0,,2517055097.0
Giảm trongnăm,Nguyên giá > Giảm trongnăm,Giảm trongnăm,(33.906.400),(379.289.908),(637.752.508),(34.283.087),(1.085.231.903),-33906400.0,-379289908.0,-637752508.0,-34283087.0,-1085231903.0
Ngày 31tháng 12 năm2017,Nguyên giá > Ngày 31tháng 12 năm2017,Ngày 31tháng 12 năm2017,1.275.753.000,49.857.725.207,5.473.093.999,2.588.324.239,59.194.896.445,1275753000.0,49857725207.0,5473093999.0,2588324239.0,59194896445.0
Khấu hao lũykế,Khấu hao lũykế,Khấu hao lũykế,Khấu hao lũykế,Khấu hao lũykế,Khấu hao lũykế,Khấu hao lũykế,Khấu hao lũykế,,,,,
Ngày 1 tháng1 năm 2017,Khấu hao lũykế > Ngày 1 tháng1 năm 2017,Ngày 1 tháng1 năm 2017,1.303.725.786,39.631.704.531,2.132.235.191,2.608.815.841,45.676.481.349,1303725786.0,39631704531.0,2132235191.0,2608815841.0,45676481349.0
Khấu hao trong năm,Khấu hao lũykế > Khấu hao trong năm,Khấu hao trong năm,2.770.842,4.305.120.146,726.796.600,12.882.232,5.047.569.820,2770842.0,4305120146.0,726796600.0,12882232.0,5047569820.0
Giảm trongnăm,Khấu hao lũykế > Giảm trongnăm,Giảm trongnăm,(30.743.628),(345.616.906),(637.752.508),(34.283.087),(1.048.396.129),-30743628.0,-345616906.0,-637752508.0,-34283087.0,-1048396129.0
Ngày 31tháng 12 năm2017,Khấu hao lũykế > Ngày 31tháng 12 năm2017,Ngày 31tháng 12 năm2017,1.275.753.000,43.591.207.771,2.221.279.283,2.587.414.986,49.675.655.040,1275753000.0,43591207771.0,2221279283.0,2587414986.0,49675655040.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Ngày 1 tháng1 năm 2017,Giá trị còn lại > Ngày 1 tháng1 năm 2017,Ngày 1 tháng1 năm 2017,5.933.614,9.260.439.487,2.806.427.316,13.791.485,12.086.591.902,5933614.0,9260439487.0,2806427316.0,13791485.0,12086591902.0
Ngày 31tháng 12 năm2017,Giá trị còn lại > Ngày 31tháng 12 năm2017,Ngày 31tháng 12 năm2017,-,6.266.517.436,3.251.814.716,909.253,9.519.241.405,,6266517436.0,3251814716.0,909253.0,9519241405.0
