row_label_raw,row_label_full,col_0,Môi giới và dịch vụ khách hàng VND,Tự doanh VND,Ngân hàng đầu tư VND,Hoạt động khác VND,Tổng cộng VND,numeric__Môi giới và dịch vụ khách hàng VND,numeric__Tự doanh VND,numeric__Ngân hàng đầu tư VND,numeric__Hoạt động khác VND,numeric__Tổng cộng VND
Ngày 31 tháng 12 năm 2018,Ngày 31 tháng 12 năm 2018,Ngày 31 tháng 12 năm 2018,Ngày 31 tháng 12 năm 2018,Ngày 31 tháng 12 năm 2018,Ngày 31 tháng 12 năm 2018,Ngày 31 tháng 12 năm 2018,Ngày 31 tháng 12 năm 2018,,,,,
1. Doanh thu hoạt động,Ngày 31 tháng 12 năm 2018 > 1. Doanh thu hoạt động,1. Doanh thu hoạt động,719.787.852.633,185.764.865.990,88.742.291.732,59.608.568.242,1.053.903.578.597,719787852633.0,185764865990.0,88742291732.0,59608568242.0,1053903578597.0
2. Các chi phí trực tiếp,Ngày 31 tháng 12 năm 2018 > 2. Các chi phí trực tiếp,2. Các chi phí trực tiếp,(347.973.236.531),(174.971.933.721),(53.881.598.743),18.936.094.071,(557.890.674.924),-347973236531.0,-174971933721.0,-53881598743.0,18936094071.0,-557890674924.0
3. Khấu hao và các chi phí phân bổ,Ngày 31 tháng 12 năm 2018 > 3. Khấu hao và các chi phí phân bổ,3. Khấu hao và các chi phí phân bổ,(200.303.193.938),(51.694.809.579),(24.695.282.654),(16.587.924.569),(293.281.210.740),-200303193938.0,-51694809579.0,-24695282654.0,-16587924569.0,-293281210740.0
Lợi nhuận từ hoạt động kinh doanh trước thuế,Ngày 31 tháng 12 năm 2018 > Lợi nhuận từ hoạt động kinh doanh trước thuế,Lợi nhuận từ hoạt động kinh doanh trước thuế,171.511.422.164,(40.901.877.310),10.165.410.335,61.956.737.744,202.731.692.933,171511422164.0,-40901877310.0,10165410335.0,61956737744.0,202731692933.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,,,,,
1. Tài sản bộ phận (*),Số dư cuối năm > 1. Tài sản bộ phận (*),1. Tài sản bộ phận (*),2.569.374.026.355,975.144.136.339,-,16.564.994.791,3.561.083.157.485,2569374026355.0,975144136339.0,,16564994791.0,3561083157485.0
2. Tài sản phân bổ (*),Số dư cuối năm > 2. Tài sản phân bổ (*),2. Tài sản phân bổ (*),400.048.697.091,103.245.688.758,49.321.807.883,33.129.664.489,585.745.858.221,400048697091.0,103245688758.0,49321807883.0,33129664489.0,585745858221.0
Tổng tài sản,Số dư cuối năm > Tổng tài sản,Tổng tài sản,2.969.422.723.446,1.078.389.825.097,49.321.807.883,49.694.659.280,4.146.829.015.706,2969422723446.0,1078389825097.0,49321807883.0,49694659280.0,4146829015706.0
3. Nợ phải trả bộ phận,Số dư cuối năm > 3. Nợ phải trả bộ phận,3. Nợ phải trả bộ phận,3.319.387.090,10.754.347.186,-,-,14.073.734.276,3319387090.0,10754347186.0,,,14073734276.0
4. Nợ phân bổ,Số dư cuối năm > 4. Nợ phân bổ,4. Nợ phân bổ,1.571.025.392.210,405.454.635.533,193.690.950.971,130.103.021.271,2.300.273.999.985,1571025392210.0,405454635533.0,193690950971.0,130103021271.0,2300273999985.0
Tổng công nợ,Số dư cuối năm > Tổng công nợ,Tổng công nợ,1.574.344.779.300,416.208.982.719,193.690.950.971,130.103.021.271,2.314.347.734.261,1574344779300.0,416208982719.0,193690950971.0,130103021271.0,2314347734261.0
