row_label_raw,row_label_full,Danh mục các loại tài sản tài chính,Giá trị mua theo số kế toán VND,Giá trị hợp lý VND,Số dư chênh lệch đánh giá lại cuối năm VND,Số dư chênh lệch đánh giá lại đầu năm VND,Chênh lệch thuần điều chỉnh số kế toán trong năm VND,Chênh lệch tăng VND,Chênh lệch giảm VND,numeric__Giá trị mua theo số kế toán VND,numeric__Giá trị hợp lý VND,numeric__Số dư chênh lệch đánh giá lại cuối năm VND,numeric__Số dư chênh lệch đánh giá lại đầu năm VND,numeric__Chênh lệch thuần điều chỉnh số kế toán trong năm VND,numeric__Chênh lệch tăng VND,numeric__Chênh lệch giảm VND
FVTPL,FVTPL,FVTPL,FVTPL,FVTPL,FVTPL,FVTPL,FVTPL,FVTPL,FVTPL,,,,,,,
Cổ phiếu niêm yết,FVTPL > Cổ phiếu niêm yết,Cổ phiếu niêm yết,130.768.091.721,98.551.166.882,(32.216.924.839),(15.534.650.365),(16.682.274.474),(9.342.087.401),(7.340.187.073),130768091721.0,98551166882.0,-32216924839.0,-15534650365.0,-16682274474.0,-9342087401.0,-7340187073.0
BCC,FVTPL > BCC,BCC,5.834.917.300,2.489.006.000,(3.345.911.300),(2.924.835.300),(421.076.000),-,(421.076.000),5834917300.0,2489006000.0,-3345911300.0,-2924835300.0,-421076000.0,,-421076000.0
DVP,FVTPL > DVP,DVP,9.569.294.972,5.872.440.000,(3.696.854.972),(677.292.308),(3.019.562.664),-,(3.019.562.664),9569294972.0,5872440000.0,-3696854972.0,-677292308.0,-3019562664.0,,-3019562664.0
HPG,FVTPL > HPG,HPG,18.369.914.011,14.899.546.650,(3.470.367.361),2.400.020,(3.472.767.381),(2.400.020),(3.470.367.361),18369914011.0,14899546650.0,-3470367361.0,2400020.0,-3472767381.0,-2400020.0,-3470367361.0
TCB,FVTPL > TCB,TCB,28.695.698.000,25.850.000.000,(2.845.698.000),-,(2.845.698.000),-,(2.845.698.000),28695698000.0,25850000000.0,-2845698000.0,,-2845698000.0,,-2845698000.0
TCL,FVTPL > TCL,TCL,19.189.451.094,16.782.925.000,(2.406.526.094),(807.842.440),(1.598.683.654),-,(1.598.683.654),19189451094.0,16782925000.0,-2406526094.0,-807842440.0,-1598683654.0,,-1598683654.0
PSP,FVTPL > PSP,PSP,10.762.981.891,5.820.010.000,(4.942.971.891),(2.769.090.000),(2.173.881.891),-,(2.173.881.891),10762981891.0,5820010000.0,-4942971891.0,-2769090000.0,-2173881891.0,,-2173881891.0
DIG,FVTPL > DIG,DIG,1.762.026,1.472.500,(289.526),8.103.097.656,(8.103.387.182),(8.103.097.656),(289.526),1762026.0,1472500.0,-289526.0,8103097656.0,-8103387182.0,-8103097656.0,-289526.0
VGG,FVTPL > VGG,VGG,25.160.090.000,20.240.000.000,(4.920.090.000),(38.730),(4.920.051.270),-,(4.920.051.270),25160090000.0,20240000000.0,-4920090000.0,-38730.0,-4920051270.0,,-4920051270.0
Cổ phiếu niêm yết khác,FVTPL > Cổ phiếu niêm yết khác,Cổ phiếu niêm yết khác,13.183.982.427,6.595.766.732,(6.588.215.695),(16.461.049.263),9.872.833.568,(1.236.589.725),11.109.423.293,13183982427.0,6595766732.0,-6588215695.0,-16461049263.0,9872833568.0,-1236589725.0,11109423293.0
Tổng cộng,FVTPL > Tổng cộng,Tổng cộng,130.768.091.721,98.551.166.882,(32.216.924.839),(15.534.650.365),(16.682.274.474),(9.342.087.401),(7.340.187.073),130768091721.0,98551166882.0,-32216924839.0,-15534650365.0,-16682274474.0,-9342087401.0,-7340187073.0
