row_label_raw,row_label_full,Mã số,CHÍ TIÊU,Thuyết minh,Năm 2018 VND,Năm 2017 VND,numeric__CHÍ TIÊU,numeric__Thuyết minh,numeric__Năm 2018 VND,numeric__Năm 2017 VND
,,,I. DOANH THU HOẠT ĐỘNG,,,,,,,
01,01,01,1. Lãi từ các tài sản tài chính ghi nhận thông qua lãi/lỗ (FVTPL),,138.541.975.994,54.430.794.886,,,138541975994.0,54430794886.0
01.1,01.1,01.1,1.1. Lãi bán các tài sản tài chính FVTPL,29.1,127.340.223.777,37.778.823.596,,291.0,127340223777.0,37778823596.0
01.2,01.2,01.2,1.2. Chênh lệch tăng về đánh giá lại các tài sản tài chính FVTPL,29.2,(9.342.087.401),9.478.397.514,,292.0,-9342087401.0,9478397514.0
01.3,01.3,01.3,"1.3. Cổ tức, tiền lãi phát sinh từ tài sản tài chính FVTPL",29.3,20.543.839.618,7.173.573.776,,293.0,20543839618.0,7173573776.0
02,02,02,2. Lãi từ các khoản đầu tư nằm giữ đến ngày đáo hạn (HTM),29.4,43.830.410.544,23.669.513.114,,294.0,43830410544.0,23669513114.0
03,03,03,3. Lãi từ các khoản cho vay và phải thu,29.5,309.550.604.079,264.411.081.016,,295.0,309550604079.0,264411081016.0
04,04,04,4. Lãi từ tài sản tài chính sản sàng để bán (AFS),29.6,3.392.479.452,15.921.764.658,,296.0,3392479452.0,15921764658.0
06,06,06,5. Doanh thu nghiệp vụ môi giới chứng khoán,30,398.697.492.409,315.620.662.600,,30.0,398697492409.0,315620662600.0
07,07,07,"6. Doanh thu nghiệp vụ bảo lãnh, đại lý phát hành chứng khoán",,219.800.822,-,,,219800822.0,
09,09,09,7. Doanh thu nghiệp vụ lưu ký chứng khoán,,11.539.756.145,10.275.501.801,,,11539756145.0,10275501801.0
10,10,10,8. Doanh thu hoạt động tư vấn tài chính,31,88.522.490.910,114.282.054.090,,31.0,88522490910.0,114282054090.0
11,11,11,9. Thu nhập hoạt động khác,32,47.310.709.363,39.117.702.919,,32.0,47310709363.0,39117702919.0
20,20,20,Cộng doanh thu hoạt động,,1.041.605.719.718,837.729.075.084,,,1041605719718.0,837729075084.0
,,,II. CHI PHÍ HOẠT ĐỘNG,,,,,,,
21,21,21,1. Lỗ từ các tài sản tài chính FVTPL,,48.811.073.605,134.463.311.523,,,48811073605.0,134463311523.0
21.1,21.1,21.1,1.1 Lỗ bán các tài sản tài chính FVTPL,29.1,41.096.463.428,109.212.808.771,,291.0,41096463428.0,109212808771.0
21.2,21.2,21.2,1.2 Chênh lệch giảm đánh giá lại các tài sản tài chính FVTPL,29.2,7.340.187.073,25.013.047.879,,292.0,7340187073.0,25013047879.0
21.3,21.3,21.3,1.3 Chi phí giao dịch mua các tài sản tài chính FVTPL,,374.423.104,237.454.873,,,374423104.0,237454873.0
24,24,24,"2. Chi phí dự phòng tài sản tài chính, xử lý tổn thất các khoản phải thu khó đòi và lỗ suy giảm tài sản tài chính và chi phí đi vay của các khoản cho vay",7.5,111.154.866.399,(133.166.584.142),,75.0,111154866399.0,-133166584142.0
26,26,26,3. Chi phí hoạt động tự doanh,,15.005.993.717,5.498.110.441,,,15005993717.0,5498110441.0
27,27,27,4. Chi phí nghiệp vụ môi giới chứng khoán,33,335.988.825.721,245.642.876.428,,33.0,335988825721.0,245642876428.0
28,28,28,"5. Chi phí nghiệp vụ bảo lãnh, đại lý phát hành chứng khoán",,-,925.084,,,,925084.0
29,29,29,6. Chi phí nghiệp vụ tư vấn đầu tư chứng khoán,,38.000.000,64.236.522,,,38000000.0,64236522.0
30,30,30,7. Chi phí nghiệp vụ lưu ký chứng khoán,,11.984.410.810,9.786.536.415,,,11984410810.0,9786536415.0
31,31,31,8. Chi phí hoạt động tư vấn tài chính,,53.843.598.744,33.923.088.079,,,53843598744.0,33923088079.0
32,32,32,9. Chi phí hoạt động khác,34,(18.942.827.752),233.688.491.150,,34.0,-18942827752.0,233688491150.0
40,40,40,Cộng chi phí hoạt động,,557.883.941.244,529.900.991.500,,,557883941244.0,529900991500.0
