row_label_raw,row_label_full,col_0,31/12/2018 > Giá gốc VND,31/12/2018 > Giá trị hợp lý VND,31/12/2017 > Giá gốc VND,31/12/2017 > Giá trị hợp lý VND,numeric__31/12/2018 > Giá gốc VND,numeric__31/12/2018 > Giá trị hợp lý VND,numeric__31/12/2017 > Giá gốc VND,numeric__31/12/2017 > Giá trị hợp lý VND
Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,130.768.091.721,98.551.166.882,306.611.316.510,291.076.666.145,130768091721.0,98551166882.0,306611316510.0,291076666145.0
HPG,HPG,HPG,18.369.914.011,14.899.546.650,17.982.802.869,17.817.873.950,18369914011.0,14899546650.0,17982802869.0,17817873950.0
TCB,TCB,TCB,28.695.698.000,25.850.000.000,14.658.541.387,12.814.104.000,28695698000.0,25850000000.0,14658541387.0,12814104000.0
TCL,TCL,TCL,19.189.451.094,16.782.925.000,19.486.559.440,18.678.717.000,19189451094.0,16782925000.0,19486559440.0,18678717000.0
PSP,PSP,PSP,10.762.981.891,5.820.010.000,-,-,10762981891.0,5820010000.0,,
SD3,SD3,SD3,9.157.541.200,3.434.787.600,25.160.090.000,23.200.000.000,9157541200.0,3434787600.0,25160090000.0,23200000000.0
VGG,VGG,VGG,25.160.090.000,20.240.000.000,43.162.085.633,43.503.000.000,25160090000.0,20240000000.0,43162085633.0,43503000000.0
Cổ phiếu niêm yết khác,Cổ phiếu niêm yết khác,Cổ phiếu niêm yết khác,19.432.415.525,11.523.897.632,186.161.237.181,175.062.971.195,19432415525.0,11523897632.0,186161237181.0,175062971195.0
Trải phiếu chưa niêm yết,Trải phiếu chưa niêm yết,Trải phiếu chưa niêm yết,227.884.166.268,227.884.166.268,-,-,227884166268.0,227884166268.0,,
Tổng cộng,Tổng cộng,Tổng cộng,358.652.257.989,326.435.333.150,306.611.316.510,291.076.666.145,358652257989.0,326435333150.0,306611316510.0,291076666145.0
