row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND","Máy móc,thiết bịVND",Phương tiệnvận tảiVND,Thiết bị dụng cụquản lýVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc,thiết bịVND",numeric__Phương tiệnvận tảiVND,numeric__Thiết bị dụng cụquản lýVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Ngày 1 tháng1 năm 2018,Nguyên giá > Ngày 1 tháng1 năm 2018,Ngày 1 tháng1 năm 2018,1.275.753.000,49.857.725.207,5.473.093.999,2.588.324.239,59.194.896.445,1275753000.0,49857725207.0,5473093999.0,2588324239.0,59194896445.0
Mua trongnăm,Nguyên giá > Mua trongnăm,Mua trongnăm,-,9.384.716.000,41.613.000,1.858.308.500,11.284.637.500,,9384716000.0,41613000.0,1858308500.0,11284637500.0
Giảm trongnăm,Nguyên giá > Giảm trongnăm,Giảm trongnăm,(1.275.753.000),(229.522.162),-,(3.327.528),(1.508.602.690),-1275753000.0,-229522162.0,,-3327528.0,-1508602690.0
Ngày 31tháng 12 năm2018,Nguyên giá > Ngày 31tháng 12 năm2018,Ngày 31tháng 12 năm2018,-,59.012.919.045,5.514.706.999,4.443.305.211,68.970.931.255,,59012919045.0,5514706999.0,4443305211.0,68970931255.0
Khấu hao lũykế,Khấu hao lũykế,Khấu hao lũykế,Khấu hao lũykế,Khấu hao lũykế,Khấu hao lũykế,Khấu hao lũykế,Khấu hao lũykế,,,,,
Ngày 1 tháng1 năm 2018,Khấu hao lũykế > Ngày 1 tháng1 năm 2018,Ngày 1 tháng1 năm 2018,1.275.753.000,43.591.207.771,2.221.279.283,2.587.414.986,49.675.655.040,1275753000.0,43591207771.0,2221279283.0,2587414986.0,49675655040.0
Khấu hao trong năm,Khấu hao lũykế > Khấu hao trong năm,Khấu hao trong năm,-,5.016.890.071,915.963.306,50.300.610,5.983.153.987,,5016890071.0,915963306.0,50300610.0,5983153987.0
Giảm trongnăm,Khấu hao lũykế > Giảm trongnăm,Giảm trongnăm,(1.275.753.000),(229.522.162),-,(28),(1.505.275.190),-1275753000.0,-229522162.0,,-28.0,-1505275190.0
Ngày 31tháng 12 năm2018,Khấu hao lũykế > Ngày 31tháng 12 năm2018,Ngày 31tháng 12 năm2018,-,48.378.575.680,3.137.242.589,2.637.715.568,54.153.533.837,,48378575680.0,3137242589.0,2637715568.0,54153533837.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Ngày 1 tháng1 năm 2018,Giá trị còn lại > Ngày 1 tháng1 năm 2018,Ngày 1 tháng1 năm 2018,-,6.266.517.436,3.251.814.716,909.253,9.519.241.405,,6266517436.0,3251814716.0,909253.0,9519241405.0
Ngày 31tháng 12 năm2018,Giá trị còn lại > Ngày 31tháng 12 năm2018,Ngày 31tháng 12 năm2018,-,10.634.343.365,2.377.464.410,1.805.589.643,14.817.397.418,,10634343365.0,2377464410.0,1805589643.0,14817397418.0
