row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,31/12/2018 VND,31/12/2017 VND,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__31/12/2018 VND,numeric__31/12/2017 VND
,,,A. TẢI SẢN CỦA CÔNG TY CHỨNG KHOÁN (CTCK) VÀ TẢI SẢN QUẢN LÝ THEO CAM KẾT,,,,,,,
002,002,002,Chứng chỉ có giá nhận giữ hộ,28.1,9.882.580.000,9.882.580.000,,281.0,9882580000.0,9882580000.0
004,004,004,Nợ khó đòi đã xử lý,28.2,466.330.769.891,297.156.004.087,,282.0,466330769891.0,297156004087.0
005,005,005,Ngoại tệ các loại,28.3,530.616.144,13.792.745,,283.0,530616144.0,13792745.0
006,006,006,Cổ phiếu đang lưu hành (số lượng),27.3,122.116.893,122.122.164,,273.0,122116893.0,122122164.0
007,007,007,Cổ phiếu quỹ (số cổ phiếu),27.3,7.387,1.656,,273.0,7387.0,1656.0
008,008,008,Tài sản tài chính niêm yết/dăng ký giao dịch tại Trung tâm Lưu ký Chứng khoán của CTCK (VND),28.4,76.013.080.000,153.502.110.000,,284.0,76013080000.0,153502110000.0
012,012,012,Tài sản tài chính chưa lưu ký tại Trung tâm Lưu ký Chứng khoán của CTCK (VND),28..5,127.968.330.000,127.968.330.000,,285.0,127968330000.0,127968330000.0
012,012,012,B. TẢI SẢN VÀ CÁC KHOÁN PHÁI TRẢ VỀ TẢI SẢN QUẢN LÝ CAM KẾT VỚI KHÁCH HÀNG,,,,,,,
021,012 > 021,021,Tài sản tài chính niêm yết/dăng ký giao dịch tại Trung tâm Lưu ký Chứng khoán của Nhà đầu tư,28.6,22.901.644.900.000,17.459.593.720.000,,286.0,22901644900000.0,17459593720000.0
021.1,012 > 021.1,021.1,Tài sản tài chính giao dịch tự do chuyển nhượng,,15.178.793.640.000,10.329.683.100.000,,,15178793640000.0,10329683100000.0
021.2,012 > 021.2,021.2,Tài sản tài chính hạn chế chuyển nhượng,,616.066.060.000,686.505.890.000,,,616066060000.0,686505890000.0
021.3,012 > 021.3,021.3,Tài sản tài chính giao dịch cầm cố,,5.794.554.550.000,5.491.012.500.000,,,5794554550000.0,5491012500000.0
021.4,012 > 021.4,021.4,"Tài sản tài chính phong tỏa, tạm giữ",,1.074.978.090.000,612.170.900.000,,,1074978090000.0,612170900000.0
021.5,012 > 021.5,021.5,Tài sản tài chính chờ thanh toán,,237.252.560.000,340.221.330.000,,,237252560000.0,340221330000.0
022,012 > 022,022,Tài sản tài chính đã lưu ký tại Trung tâm Lưu ký Chứng khoán và chưa giao dịch của Nhà đầu tư,28.7,207.533.100.000,284.820.350.000,,287.0,207533100000.0,284820350000.0
022.1,012 > 022.1,022.1,"Tài sản tài chính đã lưu ký tại Trung tâm Lưu ký Chứng khoán và chưa giao dịch, tự do chuyển nhượng",,28.901.680.000,3.541.570.000,,,28901680000.0,3541570000.0
022.2,012 > 022.2,022.2,"Tài sản tài chính đã lưu ký tại Trung tâm Lưu ký Chứng khoán và chưa giao dịch, hạn chế chuyển nhượng",,178.631.420.000,281.278.780.000,,,178631420000.0,281278780000.0
023,012 > 023,023,Tài sản tài chính chờ về của Nhà đầu tư,28.8,206.594.520.000,315.294.110.000,,288.0,206594520000.0,315294110000.0
024.b,012 > 024.b,024.b,Tài sản tài chính chưa lưu ký tại Trung tâm Lưu ký Chứng khoán của Nhà đầu tư,28.9,1.693.810.000,4.839.890.000,,289.0,1693810000.0,4839890000.0
