row_label_raw,row_label_full,Các loại tài sảntài chính,31/12/2017 > Giá muaVND,31/12/2017 > Chênh lệch đánh giá > Chênh lệchtăngVND,31/12/2017 > Chênh lệch đánh giá > Chênh lệchgiảmVND,31/12/2017 > Giá trị đánh giá lạiVND,numeric__31/12/2017 > Giá muaVND,numeric__31/12/2017 > Chênh lệch đánh giá > Chênh lệchtăngVND,numeric__31/12/2017 > Chênh lệch đánh giá > Chênh lệchgiảmVND,numeric__31/12/2017 > Giá trị đánh giá lạiVND
FVTPL,FVTPL,FVTPL,FVTPL,FVTPL,FVTPL,FVTPL,,,,
Cổ phiếu niêmyết,FVTPL > Cổ phiếu niêmyết,Cổ phiếu niêmyết,306.611.316.510,9.478.397.514,(25.013.047.879),291.076.666.145,306611316510.0,9478397514.0,-25013047879.0,291076666145.0
AFS,AFS,AFS,AFS,AFS,AFS,AFS,,,,
Cổ phiếu chuaniêm yết,AFS > Cổ phiếu chuaniêm yết,Cổ phiếu chuaniêm yết,222.723.559.574,-,(7.180.012.945),215.543.546.629,222723559574.0,,-7180012945.0,215543546629.0
Đầu tư khác,AFS > Đầu tư khác,Đầu tư khác,3.000.000.000,-,(3.000.000.000),-,3000000000.0,,-3000000000.0,
Tổng cộng,AFS > Tổng cộng,Tổng cộng,532.334.876.084,9.478.397.514,(35.193.060.824),506.620.212.774,532334876084.0,9478397514.0,-35193060824.0,506620212774.0
