row_label_raw,row_label_full,col_0,Phần mềm máy tính VND,numeric__Phần mềm máy tính VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,
Ngày 1 tháng 1 năm 2017,Nguyên giá > Ngày 1 tháng 1 năm 2017,Ngày 1 tháng 1 năm 2017,2.010.833.300,2010833300.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,5.653.771.000,5653771000.0
Ngày 31 tháng 12 năm 2017,Nguyên giá > Ngày 31 tháng 12 năm 2017,Ngày 31 tháng 12 năm 2017,7.664.604.300,7664604300.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,
Ngày 1 tháng 1 năm 2017,Hao mòn lũy kế > Ngày 1 tháng 1 năm 2017,Ngày 1 tháng 1 năm 2017,1.638.883.297,1638883297.0
Hao mòn trong năm,Hao mòn lũy kế > Hao mòn trong năm,Hao mòn trong năm,629.061.763,629061763.0
Ngày 31 tháng 12 năm 2017,Hao mòn lũy kế > Ngày 31 tháng 12 năm 2017,Ngày 31 tháng 12 năm 2017,2.267.945.060,2267945060.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,
Ngày 1 tháng 1 năm 2017,Giá trị còn lại > Ngày 1 tháng 1 năm 2017,Ngày 1 tháng 1 năm 2017,371.950.003,371950003.0
Ngày 31 tháng 12 năm 2017,Giá trị còn lại > Ngày 31 tháng 12 năm 2017,Ngày 31 tháng 12 năm 2017,5.396.659.240,5396659240.0
