row_label_raw,row_label_full,col_0,Quá hạnVND,Đến 01 nămVND,Từ 01 – 05 nămVND,Trên 05 nămVND,Tổng cộngVND,numeric__Quá hạnVND,numeric__Đến 01 nămVND,numeric__Từ 01 – 05 nămVND,numeric__Trên 05 nămVND,numeric__Tổng cộngVND
TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,,,,,
Tiền và các khoản tương đương tiền,TÀI SẢN TÀI CHÍNH > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,-,458.449.693.695,-,-,458.449.693.695,,458449693695.0,,,458449693695.0
Tài sản tài chính ghi nhận thông qua lãi/lỗ(FVTPL),TÀI SẢN TÀI CHÍNH > Tài sản tài chính ghi nhận thông qua lãi/lỗ(FVTPL),Tài sản tài chính ghi nhận thông qua lãi/lỗ(FVTPL),-,326.435.333.150,-,-,326.435.333.150,,326435333150.0,,,326435333150.0
Các khoản đầu tư nắm giữ đến ngày đáo hạn(HTM),TÀI SẢN TÀI CHÍNH > Các khoản đầu tư nắm giữ đến ngày đáo hạn(HTM),Các khoản đầu tư nắm giữ đến ngày đáo hạn(HTM),,388.321.895.099,-,-,388.321.895.099,,388321895099.0,,,388321895099.0
Các khoản cho vay,TÀI SẢN TÀI CHÍNH > Các khoản cho vay,Các khoản cho vay,-,2.300.284.385.457,-,-,2.300.284.385.457,,2300284385457.0,,,2300284385457.0
Tài sản tài chính sẵn sàng để bán (AFS),TÀI SẢN TÀI CHÍNH > Tài sản tài chính sẵn sàng để bán (AFS),Tài sản tài chính sẵn sàng để bán (AFS),-,223.584.964.268,-,-,223.584.964.268,,223584964268.0,,,223584964268.0
Các khoản phải thu,TÀI SẢN TÀI CHÍNH > Các khoản phải thu,Các khoản phải thu,-,24.205.336.253,-,-,24.205.336.253,,24205336253.0,,,24205336253.0
Phải thu các dịch vụ CTCK cung cấp,TÀI SẢN TÀI CHÍNH > Phải thu các dịch vụ CTCK cung cấp,Phải thu các dịch vụ CTCK cung cấp,147.043.631.211,13.140.151.640,-,-,160.183.782.851,147043631211.0,13140151640.0,,,160183782851.0
Các khoản phải thu khác,TÀI SẢN TÀI CHÍNH > Các khoản phải thu khác,Các khoản phải thu khác,103.735.773.318,2.170.084.729,-,-,105.905.858.047,103735773318.0,2170084729.0,,,105905858047.0
Tài sản ngắn hạn khác,TÀI SẢN TÀI CHÍNH > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,-,30.475.796.543,-,-,30.475.796.543,,30475796543.0,,,30475796543.0
Tài sản cố định,TÀI SẢN TÀI CHÍNH > Tài sản cố định,Tài sản cố định,-,-,-,27.196.700.057,27.196.700.057,,,,27196700057.0,27196700057.0
Tiền nộp Quỹ Hỗ trợ thanh toán,TÀI SẢN TÀI CHÍNH > Tiền nộp Quỹ Hỗ trợ thanh toán,Tiền nộp Quỹ Hỗ trợ thanh toán,-,-,-,10.456.433.957,10.456.433.957,,,,10456433957.0,10456433957.0
Tiền nộp Quỹ bù trừ,TÀI SẢN TÀI CHÍNH > Tiền nộp Quỹ bù trừ,Tiền nộp Quỹ bù trừ,-,-,-,10.051.174.530,10.051.174.530,,,,10051174530.0,10051174530.0
Các tài sản dài hạn,TÀI SẢN TÀI CHÍNH > Các tài sản dài hạn,Các tài sản dài hạn,-,-,81.277.661.799,-,81.277.661.799,,,81277661799.0,,81277661799.0
Tổng cộng,TÀI SẢN TÀI CHÍNH > Tổng cộng,Tổng cộng,250.779.404.529,3.767.067.640.834,81.277.661.799,47.704.308.544,4.146.829.015.706,250779404529.0,3767067640834.0,81277661799.0,47704308544.0,4146829015706.0
