row_label_raw,row_label_full,31/12/2018 > Các loại tài sảntài chính,31/12/2018 > Giá muaVND,31/12/2018 > Chênh lệch đánh giá > Chênh lệchtăngVND,31/12/2018 > Chênh lệch đánh giá > Chênh lệch giảmVND,31/12/2018 > Giá trị đánh giá lạiVND,numeric__31/12/2018 > Giá muaVND,numeric__31/12/2018 > Chênh lệch đánh giá > Chênh lệchtăngVND,numeric__31/12/2018 > Chênh lệch đánh giá > Chênh lệch giảmVND,numeric__31/12/2018 > Giá trị đánh giá lạiVND
FVTPL,FVTPL,FVTPL,FVTPL,FVTPL,FVTPL,FVTPL,,,,
Cổ phiếu niêmyết,FVTPL > Cổ phiếu niêmyết,Cổ phiếu niêmyết,130.768.091.721,136.310.113,(32.353.234.952),98.551.166.882,130768091721.0,136310113.0,-32353234952.0,98551166882.0
Trái phiếu churaniêm yết,FVTPL > Trái phiếu churaniêm yết,Trái phiếu churaniêm yết,227.884.166.268,-,-,227.884.166.268,227884166268.0,,,227884166268.0
AFS,AFS,AFS,AFS,AFS,AFS,AFS,,,,
Cổ phiếu churaniêm yết,AFS > Cổ phiếu churaniêm yết,Cổ phiếu churaniêm yết,220.584.964.268,-,(118.334.879.344),102.250.084.924,220584964268.0,,-118334879344.0,102250084924.0
Đầu tư khác,AFS > Đầu tư khác,Đầu tư khác,3.000.000.000,-,(3.000.000.000),-,3000000000.0,,-3000000000.0,
Tổng cộng,AFS > Tổng cộng,Tổng cộng,582.237.222.257,136.310.113,(153.688.114.296),428.685.418.074,582237222257.0,136310113.0,-153688114296.0,428685418074.0
