row_label_raw,row_label_full,STT,Danh mục các khoản đầu tư,Số lượng bán Đơn vị,Tổng giá trị bán VND,Giá vốn bình quân gia quyền VND,Lỗ bán chứng khoán năm nay VND,Lỗ bán chứng khoán năm trước VND,numeric__Danh mục các khoản đầu tư,numeric__Số lượng bán Đơn vị,numeric__Tổng giá trị bán VND,numeric__Giá vốn bình quân gia quyền VND,numeric__Lỗ bán chứng khoán năm nay VND,numeric__Lỗ bán chứng khoán năm trước VND
1,1,1,Cổ phiếu niêm yết,5.357.910,84.238.758.000,116.105.107.036,31.866.349.036,108.510.808.771,,5357910.0,84238758000.0,116105107036.0,31866349036.0,108510808771.0
1,1,1,SFG,414.160,5.602.246.000,5.685.273.718,83.027.718,34.398.940,,414160.0,5602246000.0,5685273718.0,83027718.0,34398940.0
1,1,1,REE,200.000,6.811.582.500,7.583.624.655,772.042.155,-,,200000.0,6811582500.0,7583624655.0,772042155.0,
1,1,1,POW,972.100,12.605.960.000,14.021.360.000,1.415.400.000,-,,972100.0,12605960000.0,14021360000.0,1415400000.0,
1,1,1,PVB,-,-,-,-,6.473.697.848,,,,,,6473697848.0
1,1,1,Cổ phiếu niêm yết khác,3.771.650,59.218.969.500,88.814.848.663,29.595.879.163,102.002.711.983,,3771650.0,59218969500.0,88814848663.0,29595879163.0,102002711983.0
2,2,2,Cổ phiếu chưa niêm yết,180.000,1.353.333.333,2.880.000.000,1.526.666.667,702.000.000,,180000.0,1353333333.0,2880000000.0,1526666667.0,702000000.0
2,2,2,Cổ phiếu Công ty Cổ phần,,,,,,,,,,,
2,2 > 2,2,Nha khoa DETEC,180.000,1.353.333.333,2.880.000.000,1.526.666.667,-,,180000.0,1353333333.0,2880000000.0,1526666667.0,
2,2 > 2,2,Cổ phiếu chưa niêm yết khác,-,-,-,-,702.000.000,,,,,,702000000.0
3,2 > 3,3,Trái phiếu niêm yết,6.750.000,726.575.870.000,733.559.190.000,6.983.320.000,-,,6750000.0,726575870000.0,733559190000.0,6983320000.0,
3,2 > 3,3,Trái phiếu KBC11710,1.690.000,172.746.730.000,179.641.930.000,6.895.200.000,-,,1690000.0,172746730000.0,179641930000.0,6895200000.0,
3,2 > 3,3,Trái phiếu niêm yết khác,5.060.000,553.829.140.000,553.917.260.000,88.120.000,-,,5060000.0,553829140000.0,553917260000.0,88120000.0,
4,2 > 4,4,Trái phiếu chưa niêm yết,283.262,139.029.364.853,139.749.492.578,720.127.725,-,,283262.0,139029364853.0,139749492578.0,720127725.0,
4,2 > 4,4,Trái phiếu Công ty TNHH,1.102,110.399.265.753,110.664.953.398,265.687.645,-,,1102.0,110399265753.0,110664953398.0,265687645.0,
4,4,4,Liên doanh Ô tô Hòa Bình,,,,,,,,,,,
4,4 > 4,4,Trái phiếu Công ty Cổ phần,282.160,28.630.099.100,29.084.539.180,454.440.080,-,,282160.0,28630099100.0,29084539180.0,454440080.0,
4,4,4,Tập đoàn Đầu tư Địa ốc Nova,,,,,,,,,,,
,,,Tổng cộng,12.571.172,951.197.326.186,992.293.789.614,41.096.463.428,109.212.808.771,,12571172.0,951197326186.0,992293789614.0,41096463428.0,109212808771.0
