row_label_raw,row_label_full,Khoản mục,Máy móc thiết bị,Đơn vị tính: VND Tổng cộng,numeric__Máy móc thiết bị,numeric__Đơn vị tính: VND Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư ngày 01/01/2021,Nguyên giá > Số dư ngày 01/01/2021,Số dư ngày 01/01/2021,10.604.545.454,10.604.545.454,10604545454.0,10604545454.0
Mua lại TSCĐ thuê tài chính,Nguyên giá > Mua lại TSCĐ thuê tài chính,Mua lại TSCĐ thuê tài chính,(10.604.545.454),(10.604.545.454),-10604545454.0,-10604545454.0
Số dư ngày 31/12/2021,Số dư ngày 31/12/2021,Số dư ngày 31/12/2021,-,-,,
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,
Số dư ngày 01/01/2021,Giá trị hao mòn luỹ kế > Số dư ngày 01/01/2021,Số dư ngày 01/01/2021,6.450.859.679,6.450.859.679,6450859679.0,6450859679.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,1.044.399.348,1.044.399.348,1044399348.0,1044399348.0
Số dư ngày 31/12/2021,Số dư ngày 31/12/2021,Số dư ngày 31/12/2021,-,-,,
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày 01/01/2021,Giá trị còn lại > Tại ngày 01/01/2021,Tại ngày 01/01/2021,4.153.685.775,4.153.685.775,4153685775.0,4153685775.0
Tại ngày 31/12/2021,Tại ngày 31/12/2021,Tại ngày 31/12/2021,-,-,,
