row_label_raw,row_label_full,NGUỒN VỐN,NGUỒN VỐN_1,Mã số,Thuyết minh,31/12/2021,Đơn vị tính: VND 01/01/2021,numeric__NGUỒN VỐN_1,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2021,numeric__Đơn vị tính: VND 01/01/2021
C,C,C,NỘ PHẢI TRẢ,300,,3.515.699.437.284,3.981.924.727.646,,300.0,,3515699437284.0,3981924727646.0
I,I,I,Nợ ngắn hạn,310,,2.192.825.376.722,2.101.353.227.427,,310.0,,2192825376722.0,2101353227427.0
1,1,1,Phải trả người bán ngắn hạn,311,V.14.,258.283.086.339,404.170.607.548,,311.0,,258283086339.0,404170607548.0
2,2,2,Người mua trả tiền trước ngắn hạn,312,V.15.,327.424.141.055,254.002.606.247,,312.0,,327424141055.0,254002606247.0
3,3,3,Thuế và các khoản phải nộp Nhà nước,313,V.16.,53.762.036.906,113.905.949.740,,313.0,,53762036906.0,113905949740.0
4,4,4,Phải trả người lao động,314,,12.041.352.477,16.013.504.923,,314.0,,12041352477.0,16013504923.0
5,5,5,Chi phí phải trả ngắn hạn,315,V.17.,407.746.287.862,469.811.246.160,,315.0,,407746287862.0,469811246160.0
6,6,6,Doanh thu chưa thực hiện ngắn hạn,318,V.19.,2.881.665.156,4.182.307.558,,318.0,,2881665156.0,4182307558.0
7,7,7,Phải trả ngắn hạn khác,319,V.21.,221.409.213.838,235.463.093.523,,319.0,,221409213838.0,235463093523.0
8,8,8,Vay và nợ thuê tài chính ngắn hạn,320,V.20.,840.748.053.800,532.618.638.267,,320.0,,840748053800.0,532618638267.0
9,9,9,"Quỹ khen thưởng, phúc lợi",322,,68.529.539.289,71.185.273.461,,322.0,,68529539289.0,71185273461.0
II,II,II,Nợ dài hạn,330,,1.322.874.060.562,1.880.571.500.219,,330.0,,1322874060562.0,1880571500219.0
1,1,1,Chi phí phải trả dài hạn,333,V.17.,121.674.991.135,166.312.385.959,,333.0,,121674991135.0,166312385959.0
2,2,2,Doanh thu chưa thực hiện dài hạn,336,V.19.,214.150.622.016,233.584.227.416,,336.0,,214150622016.0,233584227416.0
3,3,3,Phải trả dài hạn khác,337,V.21.,40.259.562.487,37.385.429.834,,337.0,,40259562487.0,37385429834.0
4,4,4,Vay và nợ thuê tài chính dài hạn,338,V.20.,906.291.129.625,1.411.735.850.237,,338.0,,906291129625.0,1411735850237.0
5,5,5,Thuế thu nhập hoãn lại phải trả,341,,40.497.755.299,31.553.606.773,,341.0,,40497755299.0,31553606773.0
D,D,D,VỐN CHỦ SỞ HỮU,400,,3.534.352.256.375,3.456.345.350.739,,400.0,,3534352256375.0,3456345350739.0
I,I,I,Vốn chủ sở hữu,410,V.22.,3.534.352.256.375,3.456.345.350.739,,410.0,,3534352256375.0,3456345350739.0
1,1,1,Vốn góp của chủ sở hữu,411,,2.573.399.850.000,2.573.399.850.000,,411.0,,2573399850000.0,2573399850000.0
,,,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,2.573.399.850.000,2.573.399.850.000,,,,2573399850000.0,2573399850000.0
2,2,2,Quỹ đầu tư phát triển,418,,164.382.321.475,164.352.190.670,,418.0,,164382321475.0,164352190670.0
3,3,3,Lợi nhuận sau thuế chưa phân phối,421,,262.852.904.612,172.752.470.445,,421.0,,262852904612.0,172752470445.0
,,,- LNST chưa phân phối lũy kế đến cuối năm trước,421a,,169.702.503.128,239.917.019.188,,,,169702503128.0,239917019188.0
,,,- LNST chưa phân phối năm nay,421b,,93.150.401.484,(67.164.548.743),,,,93150401484.0,-67164548743.0
4,4,4,Lợi ích cổ đông không kiểm soát,429,,533.717.180.288,545.840.839.624,,429.0,,533717180288.0,545840839624.0
TỔNG CỘNG NGUỒN VỐN (440=300+400),TỔNG CỘNG NGUỒN VỐN (440=300+400),TỔNG CỘNG NGUỒN VỐN (440=300+400),TỔNG CỘNG NGUỒN VỐN (440=300+400),440,,7.050.051.693.659,7.438.270.078.385,,440.0,,7050051693659.0,7438270078385.0
