row_label_raw,row_label_full,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo) > (Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo),BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo) > (Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)_1,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo) > (Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)_2,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo) > (Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)_3,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo) > (Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)_4,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo) > (Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)_5,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo) > (Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)_6,numeric__BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo) > (Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)_1,numeric__BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo) > (Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)_2,numeric__BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo) > (Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)_3,numeric__BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo) > (Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)_4,numeric__BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo) > (Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)_5,numeric__BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo) > (Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)_6
Trái phiếu phát hành (c),Trái phiếu phát hành (c),Trái phiếu phát hành (c),218.615.747.595,218.615.747.595,1.019.363.892,-,217.596.383.703,217.596.383.703,218615747595.0,218615747595.0,1019363892.0,,217596383703.0,217596383703.0
Cộng,Cộng,Cộng,1.747.039.183.425,1.747.039.183.425,1.609.845.151.436,1.807.160.456.515,1.944.354.488.504,1.944.354.488.504,1747039183425.0,1747039183425.0,1609845151436.0,1807160456515.0,1944354488504.0,1944354488504.0
c) Trái phiếu phát hành,c) Trái phiếu phát hành,c) Trái phiếu phát hành,31/12/2021,31/12/2021,31/12/2021,01/01/2021,01/01/2021,01/01/2021,,,,,,
c) Trái phiếu phát hành,c) Trái phiếu phát hành,c) Trái phiếu phát hành,Giá trị (VND),Lãi suất,Kỳ hạn,Giá trị (VND),Lãi suất,Kỳ hạn,,,,,,
Trái phiếu thường,c) Trái phiếu phát hành > Trái phiếu thường,Trái phiếu thường,218.615.747.595,,,217.596.383.703,,,218615747595.0,,,217596383703.0,,
Trái phiếu phát hành,c) Trái phiếu phát hành > Trái phiếu phát hành,Trái phiếu phát hành,218.615.747.595,,,217.596.383.703,,,218615747595.0,,,217596383703.0,,
Loại phát hành theo mệnh giá,c) Trái phiếu phát hành > Loại phát hành theo mệnh giá,Loại phát hành theo mệnh giá,218.615.747.595,,,217.596.383.703,,,218615747595.0,,,217596383703.0,,
Nguyễn Thị Nguyệt,c) Trái phiếu phát hành > Nguyễn Thị Nguyệt,Nguyễn Thị Nguyệt,39.748.317.751,"9,225%",36 tháng,39.562.978.854,"10,5%",36 tháng,39748317751.0,0.09225,,39562978854.0,0.105,
Trương Thị Hà Chi,c) Trái phiếu phát hành > Trương Thị Hà Chi,Trương Thị Hà Chi,29.811.238.306,"9,225%",36 tháng,29.672.234.140,"10,5%",36 tháng,29811238306.0,0.09225,,29672234140.0,0.105,
Ngô Kim Oanh,c) Trái phiếu phát hành > Ngô Kim Oanh,Ngô Kim Oanh,13.911.911.210,"9,225%",36 tháng,13.847.042.599,"10,5%",36 tháng,13911911210.0,0.09225,,13847042599.0,0.105,
Nguyễn Hải Giang,c) Trái phiếu phát hành > Nguyễn Hải Giang,Nguyễn Hải Giang,11.924.495.322,"9,225%",36 tháng,11.868.893.656,"10,5%",36 tháng,11924495322.0,0.09225,,11868893656.0,0.105,
Lê Thị Hoa,c) Trái phiếu phát hành > Lê Thị Hoa,Lê Thị Hoa,9.937.079.435,"9,225%",36 tháng,9.890.744.713,"10,5%",36 tháng,9937079435.0,0.09225,,9890744713.0,0.105,
Trương Thị Nhung,c) Trái phiếu phát hành > Trương Thị Nhung,Trương Thị Nhung,9.902.169.713,"9,225%",36 tháng,9.890.744.713,"10,5%",36 tháng,9902169713.0,0.09225,,9890744713.0,0.105,
