row_label_raw,row_label_full,col_0,Phải thu khác,8.447.928.490,(401.016.268),28.467.588.813,col_5,numeric__Phải thu khác,numeric__8.447.928.490,numeric__(401.016.268),numeric__28.467.588.813,numeric__col_5
,,,Phải thu về hoạt động hợp tác đầu tư,-,-,3.364.786.255,,,,,3364786255.0,
,,,Công ty CP Senreal,-,-,3.364.786.255,,,,,3364786255.0,
,,,Lãi phải thu,535.143.353,-,13.601.092.449,,,535143353.0,,13601092449.0,
,,,Các khoản phải thu khác,7.912.785.137,(401.016.268),11.501.710.109,,,7912785137.0,-401016268.0,11501710109.0,
b),b),b),Dài hạn,10.022.073.402,(1.347.362.135),9.793.634.227,(1.347.362.135),,10022073402.0,-1347362135.0,9793634227.0,-1347362135.0
b),b),b),"Ký quỹ, ký cược dài hạn",6.982.627.267,-,6.731.188.092,,,6982627267.0,,6731188092.0,
b),b),b),Phải thu khác,3.039.446.135,(1.347.362.135),3.062.446.135,(1.347.362.135),,3039446135.0,-1347362135.0,3062446135.0,-1347362135.0
b),b),b),Ban đền bù GPMB Quốc Oai,1.692.084.000,-,1.692.084.000,,,1692084000.0,,1692084000.0,
b),b),b),Các khoản phải thu dài hạn khác,1.347.362.135,(1.347.362.135),1.370.362.135,(1.347.362.135),,1347362135.0,-1347362135.0,1370362135.0,-1347362135.0
b),b),b),Cộng,67.274.992.483,(6.848.378.403),102.833.388.480,(6.447.362.135),,67274992483.0,-6848378403.0,102833388480.0,-6447362135.0
