row_label_raw,row_label_full,Ông Đoàn Văn Bình,Chủ tịch,numeric__Chủ tịch
Bà Phạm Thị Mai Lan,Bà Phạm Thị Mai Lan,Bà Phạm Thị Mai Lan,Phó Chủ tịch,
Ông Đoàn Văn Minh,Ông Đoàn Văn Minh,Ông Đoàn Văn Minh,Thành viên (Bổ nhiệm ngày 29/6/2021),
Ông Lưu Đức Quang,Ông Lưu Đức Quang,Ông Lưu Đức Quang,Thành viên,
Ông Tạ Văn Tổ,Ông Tạ Văn Tổ,Ông Tạ Văn Tổ,Thành viên (Miễn nhiệm ngày 29/6/2021),
Bà Vũ Thị Lan Anh,Bà Vũ Thị Lan Anh,Bà Vũ Thị Lan Anh,Thành viên,
Ban Tổng giám đốc,Ban Tổng giám đốc,Ban Tổng giám đốc,Ban Tổng giám đốc,
Ông Đoàn Văn Minh,Ông Đoàn Văn Minh,Ông Đoàn Văn Minh,Tổng Giám đốc (Bổ nhiệm từ ngày 01/7/2021 và Miễn nhiệm chức danh Phó Tổng giám đốc từ ngày 01/7/2021),
Ông Tạ Văn Tổ,Ông Tạ Văn Tổ,Ông Tạ Văn Tổ,Phó Tổng Giám đốc (Bổ nhiệm ngày 01/7/2021 và Miễn nhiệm chức danh Tổng Giám đốc từ ngày 01/7/2021),
Bà Vũ Thị Lan Anh,Bà Vũ Thị Lan Anh,Bà Vũ Thị Lan Anh,Phó Tổng giám đốc,
Ông Cao Văn Kiên,Ông Cao Văn Kiên,Ông Cao Văn Kiên,Phó Tổng giám đốc,
Ông Trần Đạo Đức,Ông Trần Đạo Đức,Ông Trần Đạo Đức,Phó Tổng giám đốc,
Ông Nguyễn Văn Đông,Ông Nguyễn Văn Đông,Ông Nguyễn Văn Đông,Phó Tổng giám đốc (Miễn nhiệm từ ngày 01/9/2021),
Bà Đỗ Phương Anh,Bà Đỗ Phương Anh,Bà Đỗ Phương Anh,Phó Tổng giám đốc,
Bà Phan Lê Mỹ Hạnh,Bà Phan Lê Mỹ Hạnh,Bà Phan Lê Mỹ Hạnh,Phó Tổng giám đốc (Miễn nhiệm từ ngày 15/7/2021),
