row_label_raw,row_label_full,col_0,01/01/2021,Phát sinh tăng,Phát sinh giảm,31/12/2021,numeric__01/01/2021,numeric__Phát sinh tăng,numeric__Phát sinh giảm,numeric__31/12/2021
Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,164.352.190.670,30.130.805,-,164.382.321.475,164352190670.0,30130805.0,,164382321475.0
Cộng,Cộng,Cộng,164.352.190.670,30.130.805,-,164.382.321.475,164352190670.0,30130805.0,,164382321475.0
