row_label_raw,row_label_full,Chỉ tiêu > Số dư tại ngày 01/01/2020 > Lỗ trong năm,Vốn góp của chủ sở hữu > 2.573.399.850.000 > -,Lợi nhuận sau thuế chưa phân phối > 258.609.453.114 > (67.164.548.743),Lợi ích cổ đông không kiểm soát > 683.804.870.884 > (36.136.663.694),Cộng > 3.515.814.173.998 > (103.301.212.437),numeric__Vốn góp của chủ sở hữu > 2.573.399.850.000 > -,numeric__Lợi nhuận sau thuế chưa phân phối > 258.609.453.114 > (67.164.548.743),numeric__Lợi ích cổ đông không kiểm soát > 683.804.870.884 > (36.136.663.694),numeric__Cộng > 3.515.814.173.998 > (103.301.212.437)
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,(98.537.879.637),(98.537.879.637),,,-98537879637.0,-98537879637.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,(14.412.043.583),-,(14.412.043.583),,-14412043583.0,,-14412043583.0
Trích quỹ khen thưởng,Trích quỹ khen thưởng,Trích quỹ khen thưởng,-,(4.280.390.343),(3.289.487.929),(7.569.878.272),,-4280390343.0,-3289487929.0,-7569878272.0
Số dư tại ngày 31/12/2020,Số dư tại ngày 31/12/2020,Số dư tại ngày 31/12/2020,2.573.399.850.000,172.752.470.445,545.840.839.624,3.291.993.160.069,2573399850000.0,172752470445.0,545840839624.0,3291993160069.0
Lãi trong năm,Lãi trong năm,Lãi trong năm,-,93.150.401.484,-,93.150.401.484,,93150401484.0,,93150401484.0
Lợi ích cổ đông không kiểm soát tại ngày mua,Lợi ích cổ đông không kiểm soát tại ngày mua,Lợi ích cổ đông không kiểm soát tại ngày mua,-,-,2.940.000.000,2.940.000.000,,,2940000000.0,2940000000.0
Lỗ trong năm,Lỗ trong năm,Lỗ trong năm,-,-,(11.010.330.178),(11.010.330.178),,,-11010330178.0,-11010330178.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,(3.185.000.000),(3.185.000.000),,,-3185000000.0,-3185000000.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,(30.130.805),-,(30.130.805),,-30130805.0,,-30130805.0
Trích quỹ khen thưởng,Trích quỹ khen thưởng,Trích quỹ khen thưởng,-,(1.512.676.972),(868.329.158),(2.381.006.130),,-1512676972.0,-868329158.0,-2381006130.0
Giảm khác,Giảm khác,Giảm khác,-,(1.507.159.540),-,(1.507.159.540),,-1507159540.0,,-1507159540.0
Số dư tại 31/12/2021,Số dư tại 31/12/2021,Số dư tại 31/12/2021,2.573.399.850.000,262.852.904.612,533.717.180.288,3.369.969.934.900,2573399850000.0,262852904612.0,533717180288.0,3369969934900.0
