row_label_raw,row_label_full,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo),BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)_1,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)_2,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)_3,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)_4,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)_5,numeric__BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)_1,numeric__BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)_2,numeric__BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)_3,numeric__BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)_4,numeric__BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)_5
"9. Tăng, giảm Tài sản cố định vô hình","9. Tăng, giảm Tài sản cố định vô hình","9. Tăng, giảm Tài sản cố định vô hình","9. Tăng, giảm Tài sản cố định vô hình","9. Tăng, giảm Tài sản cố định vô hình","9. Tăng, giảm Tài sản cố định vô hình","9. Tăng, giảm Tài sản cố định vô hình","9. Tăng, giảm Tài sản cố định vô hình",,,,,
Khoản mục,Khoản mục,Khoản mục,Quyền sử dụng đất,Phần mềm máy vi tính,"Nhăn hiệu, tên thương mại","Bản quyền, bằng sáng chế",Đơn vị tính: VND Cộng,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,,,,
Số dư ngày 01/01/2021,Nguyên giá > Số dư ngày 01/01/2021,Số dư ngày 01/01/2021,35.466.603.879,14.872.675.074,267.227.596,208.518.000,50.815.024.549,35466603879.0,14872675074.0,267227596.0,208518000.0,50815024549.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,8.526.420.406,6.308.382.500,-,-,14.834.802.906,8526420406.0,6308382500.0,,,14834802906.0
Số dư ngày 31/12/2021,Nguyên giá > Số dư ngày 31/12/2021,Số dư ngày 31/12/2021,43.993.024.285,21.181.057.574,267.227.596,208.518.000,65.649.827.455,43993024285.0,21181057574.0,267227596.0,208518000.0,65649827455.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,,,,,,,
Số dư ngày 01/01/2021,Giá trị hao mòn luỹ kế > Số dư ngày 01/01/2021,Số dư ngày 01/01/2021,2.475.317.087,8.713.715.174,267.227.596,147.468.824,11.603.728.681,2475317087.0,8713715174.0,267227596.0,147468824.0,11603728681.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,952.354.848,3.426.383.164,-,36.629.496,4.415.367.508,952354848.0,3426383164.0,,36629496.0,4415367508.0
Số dư ngày 31/12/2021,Giá trị hao mòn luỹ kế > Số dư ngày 31/12/2021,Số dư ngày 31/12/2021,3.427.671.935,12.140.098.338,267.227.596,184.098.320,16.019.096.189,3427671935.0,12140098338.0,267227596.0,184098320.0,16019096189.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,,,,
Tại ngày 01/01/2021,Giá trị còn lại > Tại ngày 01/01/2021,Tại ngày 01/01/2021,32.991.286.792,6.158.959.900,-,61.049.176,39.211.295.868,32991286792.0,6158959900.0,,61049176.0,39211295868.0
Tại ngày 31/12/2021,Giá trị còn lại > Tại ngày 31/12/2021,Tại ngày 31/12/2021,40.565.352.350,9.040.959.236,-,24.419.680,49.630.731.266,40565352350.0,9040959236.0,,24419680.0,49630731266.0
