row_label_raw,row_label_full,a),Các khoản chi phí bán hàng phát sinh trong năm,Năm 2021VND > 31.169.554.878,Năm 2020VND > 76.647.830.428,numeric__Các khoản chi phí bán hàng phát sinh trong năm,numeric__Năm 2021VND > 31.169.554.878,numeric__Năm 2020VND > 76.647.830.428
a),a),a),Chi phí nhân viên bán hàng,3.213.328.712,10.446.259.391,,3213328712.0,10446259391.0
a),a),a),"Chi phí dụng cụ, đồ dùng",-,204.654.647,,,204654647.0
a),a),a),Chi phí khấu hao TSCĐ,11.893.940,154.461.364,,11893940.0,154461364.0
a),a),a),Chi phí dịch vụ mua ngoài,9.367.880.354,56.955.031.842,,9367880354.0,56955031842.0
a),a),a),Chi phí bằng tiền khác,18.576.451.872,8.887.423.184,,18576451872.0,8887423184.0
b),b),b),Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,171.965.847.464,258.109.678.819,,171965847464.0,258109678819.0
b),b),b),Chi phí nhân viên quản lý,45.479.169.808,86.797.999.571,,45479169808.0,86797999571.0
b),b),b),Chi phí vật liệu quản lý,9.045.270,3.585.000,,9045270.0,3585000.0
b),b),b),Chi phí đồ dùng văn phòng,2.665.824.837,3.212.345.444,,2665824837.0,3212345444.0
b),b),b),Chi phí khấu hao TSCĐ,24.082.034.100,11.228.709.201,,24082034100.0,11228709201.0
b),b),b),"Thuế, phí và lệ phí",7.206.986.851,793.438.363,,7206986851.0,793438363.0
b),b),b),Chi phí dự phòng,23.064.916.928,15.122.886.472,,23064916928.0,15122886472.0
b),b),b),Chi phí dịch vụ mua ngoài,3.282.604.036,55.310.877.405,,3282604036.0,55310877405.0
b),b),b),Chi phí bằng tiền khác,24.013.084.557,32.129.081.802,,24013084557.0,32129081802.0
b),b),b),Phân bổ lợi thế thương mại,42.162.181.077,53.510.755.561,,42162181077.0,53510755561.0
c),c),c),Các khoản ghi giảm chi phí quản lý doanh nghiệp,(7.183.852.737),(16.956.435.056),,-7183852737.0,-16956435056.0
c),c),c),Hoàn nhập dự phòng phải thu,(7.183.852.737),(16.956.435.056),,-7183852737.0,-16956435056.0
c),c),c),Cộng,195.951.549.605,317.801.074.191,,195951549605.0,317801074191.0
8.,8.,8.,Chi phí thuế thu nhập doanh nghiệp hiện hành,Năm 2021VND,Năm 2020VND,,,
8.,8. > 8.,8.,Chi phí thuế TNDN tính trên thu nhập chịu thuế năm hiện hành,32.734.787.360,66.847.388.682,,32734787360.0,66847388682.0
8.,8. > 8.,8.,Cộng,32.734.787.360,66.847.388.682,,32734787360.0,66847388682.0
9.,9.,9.,Chi phí thuế thu nhập doanh nghiệp hoãn lại,Năm 2021VND,Năm 2020VND,,,
9.,9. > 9.,9.,Chi phí thuế TNDN hoãn lại phát sinh từ các khoản chênh lệch tạm thời phải chịu thuế,4.057.116.452,21.223.315.239,,4057116452.0,21223315239.0
9.,9. > 9.,9.,Tổng chi phí thuế thu nhập doanh nghiệp hoãn lại,4.057.116.452,21.223.315.239,,4057116452.0,21223315239.0
10.,10.,10.,Lãi cơ bản trên cổ phiếu,Năm 2021VND,Năm 2020VND,,,
10.,10. > 10.,10.,Lợi nhuận kế toán sau thuế thu nhập doanh nghiệp,93.150.401.484,(67.164.548.743),,93150401484.0,-67164548743.0
