row_label_raw,row_label_full,TÀI SẢN,TÀI SẢN_1,Mã số,Thuyết minh,31/12/2021,Đơn vị tính: VND01/01/2021,numeric__TÀI SẢN_1,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2021,numeric__Đơn vị tính: VND01/01/2021
A,A,A,TÀI SẢN NGĂN HẠN,100,,2.564.422.795.753,2.504.608.922.298,,100.0,,2564422795753.0,2504608922298.0
I,I,I,Tiền và các khoản tương đương tiền,110,V.1.,319.051.369.169,228.678.131.745,,110.0,,319051369169.0,228678131745.0
1,1,1,Tiền,111,,201.551.369.169,214.278.131.745,,111.0,,201551369169.0,214278131745.0
2,2,2,Các khoản tương đương tiền,112,,117.500.000.000,14.400.000.000,,112.0,,117500000000.0,14400000000.0
II,II,II,Đầu tư tài chính ngắn hạn,120,V.2.,580.197.936.833,479.697.936.833,,120.0,,580197936833.0,479697936833.0
1,1,1,Đầu tư nắm giữ đến ngày đáo hạn,123,,580.197.936.833,479.697.936.833,,123.0,,580197936833.0,479697936833.0
III,III,III,Các khoản phải thu ngắn hạn,130,,847.527.942.680,893.550.160.861,,130.0,,847527942680.0,893550160861.0
1,1,1,Phải thu ngắn hạn của khách hàng,131,V.3.,676.363.801.090,526.899.903.076,,131.0,,676363801090.0,526899903076.0
2,2,2,Trà trước cho người bán ngắn hạn,132,V.4.,163.767.868.800,147.626.447.294,,132.0,,163767868800.0,147626447294.0
3,3,3,Phải thu về cho vay ngắn hạn,135,V.5.,-,159.750.000.000,,135.0,,,159750000000.0
4,4,4,Phải thu ngắn hạn khác,136,V.6.,57.252.919.081,93.039.754.253,,136.0,,57252919081.0,93039754253.0
5,5,5,Dự phòng phải thu ngắn hạn khó đòi,137,,(49.856.646.291),(33.765.943.762),,137.0,,-49856646291.0,-33765943762.0
IV,IV,IV,Hàng tồn kho,140,V.7.,606.707.616.874,665.079.499.806,,140.0,,606707616874.0,665079499806.0
1,1,1,Hàng tồn kho,141,,606.707.616.874,665.079.499.806,,141.0,,606707616874.0,665079499806.0
V,V,V,Tài sản ngắn hạn khác,150,,210.937.930.197,237.603.193.053,,150.0,,210937930197.0,237603193053.0
1,1,1,Chi phí trả trước ngắn hạn,151,V.13.,4.925.117.702,10.300.833.612,,151.0,,4925117702.0,10300833612.0
2,2,2,Thuế GTGT được khấu trừ,152,,200.843.739.330,221.881.228.431,,152.0,,200843739330.0,221881228431.0
3,3,3,Thuế và các khoản khác phải thu Nhà nước,153,V.16.,5.169.073.165,5.421.131.010,,153.0,,5169073165.0,5421131010.0
B,B,B,TÀI SẢN DÀI HẠN,200,,4.485.628.897.906,4.933.661.156.087,,200.0,,4485628897906.0,4933661156087.0
I,I,I,Các khoản phải thu dài hạn,210,,8.674.711.267,8.446.272.092,,210.0,,8674711267.0,8446272092.0
1,1,1,Phải thu dài hạn khác,216,V.6.,10.022.073.402,9.793.634.227,,216.0,,10022073402.0,9793634227.0
2,2,2,Dự phòng phải thu dài hạn khó đòi,219,,(1.347.362.135),(1.347.362.135),,219.0,,-1347362135.0,-1347362135.0
