row_label_raw,row_label_full,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo),BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)_1,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)_2,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)_3,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)_4,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)_5,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)_6,numeric__BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)_1,numeric__BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)_2,numeric__BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)_3,numeric__BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)_4,numeric__BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)_5,numeric__BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)_6
"8. Tăng, giảm tài sản cố định hữu hình","8. Tăng, giảm tài sản cố định hữu hình","8. Tăng, giảm tài sản cố định hữu hình","8. Tăng, giảm tài sản cố định hữu hình","8. Tăng, giảm tài sản cố định hữu hình","8. Tăng, giảm tài sản cố định hữu hình","8. Tăng, giảm tài sản cố định hữu hình","8. Tăng, giảm tài sản cố định hữu hình","8. Tăng, giảm tài sản cố định hữu hình",,,,,,
Chỉ tiêu,Chỉ tiêu,Chỉ tiêu,"Nhà cửa, vật kiến trúc","Máy móc, thiết bị",Phương tiện vận tải,"Thiết bị, dụng cụ quản lý",Tài sản cố định khác,Đơn vị tính: VND Cộng,,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,,,,,,
Số dư ngày 01/01/2021,Nguyên giá > Số dư ngày 01/01/2021,Số dư ngày 01/01/2021,1.403.311.838.822,74.629.736.711,62.270.872.353,9.489.821.714,7.208.288.863,1.556.910.558.463,1403311838822.0,74629736711.0,62270872353.0,9489821714.0,7208288863.0,1556910558463.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,157.770.218,1.011.326.619,-,212.991.736,99.995.000,1.482.083.573,157770218.0,1011326619.0,,212991736.0,99995000.0,1482083573.0
Mua lại tài sản thuê tài chính,Nguyên giá > Mua lại tài sản thuê tài chính,Mua lại tài sản thuê tài chính,-,10.732.860.454,-,-,-,10.732.860.454,,10732860454.0,,,,10732860454.0
Đầu tư XDCB hoàn thành,Nguyên giá > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,149.291.622.535,534.736.461,-,-,-,149.826.358.996,149291622535.0,534736461.0,,,,149826358996.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(2.652.000.000),(960.133.392),(63.636.364),-,(3.675.769.756),,-2652000000.0,-960133392.0,-63636364.0,,-3675769756.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,-,335.814.320,-,(335.814.320),-,-,,335814320.0,,-335814320.0,,
Số dư ngày 31/12/2021,Nguyên giá > Số dư ngày 31/12/2021,Số dư ngày 31/12/2021,1.552.761.231.575,84.592.474.565,61.310.738.961,9.303.362.766,7.308.283.863,1.715.276.091.730,1552761231575.0,84592474565.0,61310738961.0,9303362766.0,7308283863.0,1715276091730.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,,,,,,,,,
Số dư ngày 01/01/2021,Giá trị hao mòn luỹ kế > Số dư ngày 01/01/2021,Số dư ngày 01/01/2021,169.446.756.691,38.204.907.389,36.486.741.278,5.380.766.105,4.723.831.389,254.243.002.852,169446756691.0,38204907389.0,36486741278.0,5380766105.0,4723831389.0,254243002852.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,42.317.787.158,9.965.433.117,7.129.704.511,1.663.631.805,1.040.607.518,62.117.164.109,42317787158.0,9965433117.0,7129704511.0,1663631805.0,1040607518.0,62117164109.0
Mua lại tài sản thuê tài chính,Giá trị hao mòn luỹ kế > Mua lại tài sản thuê tài chính,Mua lại tài sản thuê tài chính,-,7.495.259.027,-,-,-,7.495.259.027,,7495259027.0,,,,7495259027.0
"Thanh lý, nhượng bán","Giá trị hao mòn luỹ kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(2.146.786.917),(934.453.581),(35.353.520),-,(3.116.594.018),,-2146786917.0,-934453581.0,-35353520.0,,-3116594018.0
Số dư ngày 31/12/2021,Giá trị hao mòn luỹ kế > Số dư ngày 31/12/2021,Số dư ngày 31/12/2021,211.764.543.849,53.518.812.616,42.681.992.208,7.009.044.390,5.764.438.907,320.738.831.970,211764543849.0,53518812616.0,42681992208.0,7009044390.0,5764438907.0,320738831970.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,,,,,,
Tại ngày 01/01/2021,Giá trị còn lại > Tại ngày 01/01/2021,Tại ngày 01/01/2021,1.233.865.082.131,36.424.829.322,25.784.131.075,4.109.055.609,2.484.457.474,1.302.667.555.611,1233865082131.0,36424829322.0,25784131075.0,4109055609.0,2484457474.0,1302667555611.0
Tại ngày 31/12/2021,Giá trị còn lại > Tại ngày 31/12/2021,Tại ngày 31/12/2021,1.340.996.687.726,31.073.661.949,18.628.746.753,2.294.318.376,1.543.844.956,1.394.537.259.760,1340996687726.0,31073661949.0,18628746753.0,2294318376.0,1543844956.0,1394537259760.0
