row_label_raw,row_label_full,Các khoản điều chỉnh tăng hoặc giảm lợi nhuận kế toán để xác định lợi nhuận hoặc lỗ phân bổ cho cổ đông sở hữu cổ phiếu phổ thông:,-,-_1,numeric__-,numeric__-_1
Các khoản điều chỉnh tăng,Các khoản điều chỉnh tăng,Các khoản điều chỉnh tăng,-,-,,
Lợi nhuận hoặc lỗ phân bổ cho cổ đông sở hữu cổ phiếu phổ thông,Các khoản điều chỉnh tăng > Lợi nhuận hoặc lỗ phân bổ cho cổ đông sở hữu cổ phiếu phổ thông,Lợi nhuận hoặc lỗ phân bổ cho cổ đông sở hữu cổ phiếu phổ thông,93.150.401.484,(67.164.548.743),93150401484.0,-67164548743.0
Cổ phiếu phổ thông đang lưu hành bình quân trong kỳ,Các khoản điều chỉnh tăng > Cổ phiếu phổ thông đang lưu hành bình quân trong kỳ,Cổ phiếu phổ thông đang lưu hành bình quân trong kỳ,257.339.985,257.339.985,257339985.0,257339985.0
Lãi cơ bản trên cổ phiếu,Các khoản điều chỉnh tăng > Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,362,(261),362.0,-261.0
