row_label_raw,row_label_full,col_0,Năm 2019,Năm 2018,numeric__Năm 2019,numeric__Năm 2018
,,,VND,VND,,
"Chi phí nguyên liệu, vật liệu","Chi phí nguyên liệu, vật liệu","Chi phí nguyên liệu, vật liệu",4.648.567.240,4.791.301.078,4648567240.0,4791301078.0
Chi phí nhân công,Chi phí nhân công,Chi phí nhân công,213.340.698.653,182.161.824.103,213340698653.0,182161824103.0
"Chi phí công cụ, dụng cụ, đồ dùng","Chi phí công cụ, dụng cụ, đồ dùng","Chi phí công cụ, dụng cụ, đồ dùng",5.646.485.765,6.563.555.377,5646485765.0,6563555377.0
Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,18.112.950.131,19.434.579.939,18112950131.0,19434579939.0
"Thuế, phí và lệ phí","Thuế, phí và lệ phí","Thuế, phí và lệ phí",18.914.169.441,21.635.698.636,18914169441.0,21635698636.0
Chi phí dự phòng,Chi phí dự phòng,Chi phí dự phòng,7.429.281.740,7.935.019.658,7429281740.0,7935019658.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,71.691.982.203,68.935.162.992,71691982203.0,68935162992.0
Chi phí khác bằng tiền,Chi phí khác bằng tiền,Chi phí khác bằng tiền,158.124.419.591,145.225.890.254,158124419591.0,145225890254.0
Trích quỹ phát triển khoa học công nghệ (35.1),Trích quỹ phát triển khoa học công nghệ (35.1),Trích quỹ phát triển khoa học công nghệ (35.1),70.000.000.000,45.000.000.000,70000000000.0,45000000000.0
,,,567.908.554.764,501.683.032.037,567908554764.0,501683032037.0
