row_label_raw,row_label_full,col_0,Nhà và quyềnsử dụng đất,Cơ sở hạ tầng,Cộng,numeric__Nhà và quyềnsử dụng đất,numeric__Cơ sở hạ tầng,numeric__Cộng
,,,VND,VND,VND,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,1.271.055.271.858,2.618.589.484.054,3.889.644.755.912,1271055271858.0,2618589484054.0,3889644755912.0
- Tăng từ đầu tư xây dựng cơ bản (15.1),Nguyên giá > - Tăng từ đầu tư xây dựng cơ bản (15.1),- Tăng từ đầu tư xây dựng cơ bản (15.1),59.737.602.836,1.565.398.553.303,1.625.136.156.139,59737602836.0,1565398553303.0,1625136156139.0
- Điều chỉnh theo quyết toán,Nguyên giá > - Điều chỉnh theo quyết toán,- Điều chỉnh theo quyết toán,337.466.914,-,337.466.914,337466914.0,,337466914.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,1.331.130.341.608,4.183.988.037.357,5.515.118.378.965,1331130341608.0,4183988037357.0,5515118378965.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,271.758.854.179,324.571.019.435,596.329.873.614,271758854179.0,324571019435.0,596329873614.0
- Khấu hao trong năm,Giá trị hao mòn luỹ kế > - Khấu hao trong năm,- Khấu hao trong năm,41.522.443.860,76.811.142.570,118.333.586.430,41522443860.0,76811142570.0,118333586430.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,313.281.298.039,401.382.162.005,714.663.460.044,313281298039.0,401382162005.0,714663460044.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,999.296.417.679,2.294.018.464.619,3.293.314.882.298,999296417679.0,2294018464619.0,3293314882298.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,1.017.849.043.569,3.782.605.875.352,4.800.454.918.921,1017849043569.0,3782605875352.0,4800454918921.0
