row_label_raw,row_label_full,Mã số,NGUỒN VỐN,Thuyết minh,31/12/2019 > VND,01/01/2019(Đã điều chỉnh) > VND,numeric__NGUỒN VỐN,numeric__Thuyết minh,numeric__31/12/2019 > VND,numeric__01/01/2019(Đã điều chỉnh) > VND
400,400,400,D. VỐN CHỦ SỞ HỮU,,7.055.076.316.144,6.871.919.194.539,,,7055076316144.0,6871919194539.0
410,410,410,I. Vốn chủ sở hữu,25,7.002.088.576.618,6.816.014.771.497,,25.0,7002088576618.0,6816014771497.0
411,411,411,1. Vốn góp của chủ sở hữu,,4.483.500.000.000,4.483.500.000.000,,,4483500000000.0,4483500000000.0
411a,411a,411a,Cổ phiếu phổ thông có quyền biểu quyết,,4.483.500.000.000,4.483.500.000.000,,,4483500000000.0,4483500000000.0
412,412,412,2. Thặng dư vốn cổ phần,,931.929.412.457,929.291.908.278,,,931929412457.0,929291908278.0
414,414,414,3. Vốn khác của chủ sở hữu,,22.859.134.442,22.586.151.682,,,22859134442.0,22586151682.0
415,415,415,4. Cổ phiếu quỹ,,(2.471.750),(149.876.239),,,-2471750.0,-149876239.0
416,416,416,5. Chênh lệch đánh giá lại tài sản,,(211.681.407.015),(211.681.407.015),,,-211681407015.0,-211681407015.0
417,417,417,6. Chênh lệch tỷ giá hối đoái,,(1.072.309.916),-,,,-1072309916.0,
418,418,418,7. Quỹ đầu tư phát triển,,285.828.118.736,241.493.229.223,,,285828118736.0,241493229223.0
420,420,420,8. Quỹ khác thuộc vốn chủ sở hữu,,6.590.730.292,6.598.807.910,,,6590730292.0,6598807910.0
421,421,421,9. Lợi nhuận sau thuế chưa phân phối,,824.098.796.839,730.302.839.719,,,824098796839.0,730302839719.0
421a,421a,421a,LNST chưa phân phối lũy kế đến cuối năm trước,,177.807.916.797,187.652.086.811,,,177807916797.0,187652086811.0
421b,421b,421b,LNST chưa phân phối năm nay,,646.290.880.042,542.650.752.908,,,646290880042.0,542650752908.0
429,429,429,10. Lợi ích cổ đông không kiểm soát,,660.038.572.533,614.073.117.939,,,660038572533.0,614073117939.0
430,430,430,II. Nguồn kinh phí và quỹ khác,,52.987.739.526,55.904.423.042,,,52987739526.0,55904423042.0
432,432,432,1. Nguồn kinh phí đã hình thành TSCĐ,26,52.987.739.526,55.904.423.042,,26.0,52987739526.0,55904423042.0
440,440,440,TỔNG CỘNG NGUỒN VỐN,,19.887.754.159.501,16.533.191.747.045,,,19887754159501.0,16533191747045.0
