row_label_raw,row_label_full,col_0,31/12/2019,31/12/2019_1,01/01/2019 (Đã điều chỉnh),01/01/2019 (Đã điều chỉnh)_1,numeric__31/12/2019,numeric__31/12/2019_1,numeric__01/01/2019 (Đã điều chỉnh),numeric__01/01/2019 (Đã điều chỉnh)_1
,,,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,
,,,VND,VND,VND,VND,,,,
Hàng mua đang đi trên đường,Hàng mua đang đi trên đường,Hàng mua đang đi trên đường,196.032.263,-,1.139.575.406,-,196032263.0,,1139575406.0,
"Nguyên liệu, vật liệu","Nguyên liệu, vật liệu","Nguyên liệu, vật liệu",608.319.179.080,(15.778.858.560),594.364.661.412,(15.462.744.473),608319179080.0,-15778858560.0,594364661412.0,-15462744473.0
"Công cụ, dụng cụ","Công cụ, dụng cụ","Công cụ, dụng cụ",85.664.130.031,(1.093.196.844),84.972.314.009,(1.126.813.357),85664130031.0,-1093196844.0,84972314009.0,-1126813357.0
Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,1.502.748.214.655,(1.273.312.770),1.349.878.869.611,(1.751.645.974),1502748214655.0,-1273312770.0,1349878869611.0,-1751645974.0
Thành phẩm,Thành phẩm,Thành phẩm,1.092.906.506.775,(35.695.703.161),912.283.571.857,(21.777.374.432),1092906506775.0,-35695703161.0,912283571857.0,-21777374432.0
Hàng hoá,Hàng hoá,Hàng hoá,103.531.352.331,(3.232.956.670),78.242.008.112,(4.605.213.481),103531352331.0,-3232956670.0,78242008112.0,-4605213481.0
Hàng gửi đi bán,Hàng gửi đi bán,Hàng gửi đi bán,3.745.177.501,(522.276.704),2.918.976.964,(438.877.456),3745177501.0,-522276704.0,2918976964.0,-438877456.0
,,,3.397.110.592.636,(57.596.304.709),3.023.799.977.371,(45.162.669.173),3397110592636.0,-57596304709.0,3023799977371.0,-45162669173.0
