row_label_raw,row_label_full,col_0,Từ 1 năm trở xuống,Trên 1 năm đến 5 năm,Trên 5 năm,Cộng,numeric__Từ 1 năm trở xuống,numeric__Trên 1 năm đến 5 năm,numeric__Trên 5 năm,numeric__Cộng
,,,VND,VND,VND,VND,,,,
Tại ngày 31/12/2019,Tại ngày 31/12/2019,Tại ngày 31/12/2019,Tại ngày 31/12/2019,Tại ngày 31/12/2019,Tại ngày 31/12/2019,Tại ngày 31/12/2019,,,,
Tiền và các khoản tương đương tiền,Tại ngày 31/12/2019 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,2.710.172.050.345,-,-,2.710.172.050.345,2710172050345.0,,,2710172050345.0
"Phải thu khách hàng, phải thu khác","Tại ngày 31/12/2019 > Phải thu khách hàng, phải thu khác","Phải thu khách hàng, phải thu khác",919.248.509.344,21.958.811.197,-,941.207.320.541,919248509344.0,21958811197.0,,941207320541.0
Các khoản cho vay,Tại ngày 31/12/2019 > Các khoản cho vay,Các khoản cho vay,92.296.034.246,102.300.000,-,92.398.334.246,92296034246.0,102300000.0,,92398334246.0
Cộng,Tại ngày 31/12/2019 > Cộng,Cộng,3.721.716.593.935,22.061.111.197,-,3.743.777.705.132,3721716593935.0,22061111197.0,,3743777705132.0
Tại ngày 01/01/2019,Tại ngày 01/01/2019,Tại ngày 01/01/2019,Tại ngày 01/01/2019,Tại ngày 01/01/2019,Tại ngày 01/01/2019,Tại ngày 01/01/2019,,,,
Tiền và các khoản tương đương tiền,Tại ngày 01/01/2019 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,1.417.334.543.677,-,-,1.417.334.543.677,1417334543677.0,,,1417334543677.0
"Phải thu khách hàng, phải thu khác","Tại ngày 01/01/2019 > Phải thu khách hàng, phải thu khác","Phải thu khách hàng, phải thu khác",929.470.729.829,16.167.938.416,-,945.638.668.245,929470729829.0,16167938416.0,,945638668245.0
Các khoản cho vay,Tại ngày 01/01/2019 > Các khoản cho vay,Các khoản cho vay,358.568.957.128,102.300.000,-,358.671.257.128,358568957128.0,102300000.0,,358671257128.0
Cộng,Tại ngày 01/01/2019 > Cộng,Cộng,2.705.374.230.634,16.270.238.416,-,2.721.644.469.050,2705374230634.0,16270238416.0,,2721644469050.0
