row_label_raw,row_label_full,col_0,Tại công ty mẹ (i),Tại Công ty con (ii),Tổng Cộng,numeric__Tại công ty mẹ (i),numeric__Tại Công ty con (ii),numeric__Tổng Cộng
,,,VND,VND,VND,,,
"Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",35.277.901.764,13.910.147.666,49.188.049.430,35277901764.0,13910147666.0,49188049430.0
Bổ sung vốn khác của chủ sở hữu,Bổ sung vốn khác của chủ sở hữu,Bổ sung vốn khác của chủ sở hữu,-,274.983.055,274.983.055,,274983055.0,274983055.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,45.432.524.269,45.432.524.269,,45432524269.0,45432524269.0
Chi trả cổ tức,Chi trả cổ tức,Chi trả cổ tức,448.350.000.000,-,448.350.000.000,448350000000.0,,448350000000.0
