row_label_raw,row_label_full,col_0,Quyền sử dụng đất,"Giá trị thương hiệu, Nhân hiệu hàng hóa, bản quyền",Phần mềm máy vi tính,Chi phí đến bù san lắp mặt bằng,Tài sản cố định vô hình khác,Cộng,numeric__Quyền sử dụng đất,"numeric__Giá trị thương hiệu, Nhân hiệu hàng hóa, bản quyền",numeric__Phần mềm máy vi tính,numeric__Chi phí đến bù san lắp mặt bằng,numeric__Tài sản cố định vô hình khác,numeric__Cộng
,,,VND,VND,VND,VND,VND,VND,,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,88.669.978.829,11.930.552.093,6.124.557.716,93.259.704.164,1.602.635.000,201.587.427.802,88669978829.0,11930552093.0,6124557716.0,93259704164.0,1602635000.0,201587427802.0
- Mua trong năm,Nguyên giá > - Mua trong năm,- Mua trong năm,-,2.414.153.604,98.550.000,-,-,2.512.703.604,,2414153604.0,98550000.0,,,2512703604.0
- Đầu tư XDCB hoàn thành,Nguyên giá > - Đầu tư XDCB hoàn thành,- Đầu tư XDCB hoàn thành,7.869.559.466,-,-,-,-,7.869.559.466,7869559466.0,,,,,7869559466.0
"- Thanh lý, nhượng bán","Nguyên giá > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,(151.000.000),-,-,(151.000.000),,,-151000000.0,,,-151000000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,96.539.538.295,14.344.705.697,6.072.107.716,93.259.704.164,1.602.635.000,211.818.690.872,96539538295.0,14344705697.0,6072107716.0,93259704164.0,1602635000.0,211818690872.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,15.112.583.685,2.421.679.911,5.074.340.412,11.793.302.937,766.539.088,35.168.446.033,15112583685.0,2421679911.0,5074340412.0,11793302937.0,766539088.0,35168446033.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,1.731.102.783,3.042.056.100,277.073.455,2.202.855.330,181.009.812,7.434.097.480,1731102783.0,3042056100.0,277073455.0,2202855330.0,181009812.0,7434097480.0
"- Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,(151.000.000),-,-,(151.000.000),,,-151000000.0,,,-151000000.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,16.843.686.468,5.463.736.011,5.200.413.867,13.996.158.267,947.548.900,42.451.543.513,16843686468.0,5463736011.0,5200413867.0,13996158267.0,947548900.0,42451543513.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,73.557.395.144,9.508.872.182,1.050.217.304,81.466.401.227,836.095.912,166.418.981.769,73557395144.0,9508872182.0,1050217304.0,81466401227.0,836095912.0,166418981769.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,79.695.851.827,8.880.969.686,871.693.849,79.263.545.897,655.086.100,169.367.147.359,79695851827.0,8880969686.0,871693849.0,79263545897.0,655086100.0,169367147359.0
