row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Vốn khác của chủ sở hữu,Cổ phiếu quỹ,Chênh lệch đánh giá lại tài sản,Chênh lệch tỷ giá hối doái,Quỹ đầu tư phát triển,Quỹ khác thuộc vốn Chủ sở hữu,Lợi nhuận chưa phân phối,Lợi ích cổ đông không kiểm soát,Cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Vốn khác của chủ sở hữu,numeric__Cổ phiếu quỹ,numeric__Chênh lệch đánh giá lại tài sản,numeric__Chênh lệch tỷ giá hối doái,numeric__Quỹ đầu tư phát triển,numeric__Quỹ khác thuộc vốn Chủ sở hữu,numeric__Lợi nhuận chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Cộng
,,,VND,VND,VND,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,4.483.500.000.000,913.476.178.878,21.824.042.505,(149.876.239),(211.681.407.015),-,194.835.810.008,6.598.811.391,788.838.027.398,484.802.805.904,6.682.044.392.830,4483500000000.0,913476178878.0,21824042505.0,-149876239.0,-211681407015.0,,194835810008.0,6598811391.0,788838027398.0,484802805904.0,6682044392830.0
Lãi trong năm trước,Lãi trong năm trước,Lãi trong năm trước,-,-,-,-,-,-,-,-,565.494.693.465,101.718.146.702,667.212.840.167,,,,,,,,,565494693465.0,101718146702.0,667212840167.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,-,-,-,-,-,(425.932.500.000),(48.367.102.142),(474.299.602.142),,,,,,,,,-425932500000.0,-48367102142.0,-474299602142.0
Trích lập quỹ,Trích lập quỹ,Trích lập quỹ,-,-,398.485.996,-,-,-,44.737.447.232,-,(45.135.933.228),-,-,,,398485996.0,,,,44737447232.0,,-45135933228.0,,
Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,-,-,-,-,-,-,-,-,(20.034.509.137),(9.430.284.149),(29.464.793.286),,,,,,,,,-20034509137.0,-9430284149.0,-29464793286.0
Tăng khác,Tăng khác,Tăng khác,-,-,-,-,-,-,-,-,3.196.905.231,-,3.196.905.231,,,,,,,,,3196905231.0,,3196905231.0
Trả thù lao của Hội đồng quản trị,Trả thù lao của Hội đồng quản trị,Trả thù lao của Hội đồng quản trị,-,-,-,-,-,-,-,-,(1.458.848.487),(934.999.513),(2.393.848.000),,,,,,,,,-1458848487.0,-934999513.0,-2393848000.0
Giảm do Công ty con điều chỉnh hồi tố lợi nhuận các năm trước,Giảm do Công ty con điều chỉnh hồi tố lợi nhuận các năm trước,Giảm do Công ty con điều chỉnh hồi tố lợi nhuận các năm trước,-,-,-,-,-,-,-,-,(2.650.878.168),(1.609.531.168),(4.260.409.336),,,,,,,,,-2650878168.0,-1609531168.0,-4260409336.0
Do công ty con thay đổi vốn góp,Do công ty con thay đổi vốn góp,Do công ty con thay đổi vốn góp,-,16.127.388.891,363.623.181,-,-,-,1.919.971.983,(3.481),(65.635.996.758),88.043.780.584,40.818.764.400,,16127388891.0,363623181.0,,,,1919971983.0,-3481.0,-65635996758.0,88043780584.0,40818764400.0
Điều chỉnh theo báo cáo quyết toán giá trị phần vốn nhà nước,Điều chỉnh theo báo cáo quyết toán giá trị phần vốn nhà nước,Điều chỉnh theo báo cáo quyết toán giá trị phần vốn nhà nước,-,-,-,-,-,-,-,-,(65.982.902.293),-,(65.982.902.293),,,,,,,,,-65982902293.0,,-65982902293.0
Giảm khác,Giảm khác,Giảm khác,-,(311.659.491),-,-,-,-,-,-,(395.218.304),(149.698.279),(856.576.074),,-311659491.0,,,,,,,-395218304.0,-149698279.0,-856576074.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,4.483.500.000.000,929.291.908.278,22.586.151.682,(149.876.239),(211.681.407.015),-,241.493.229.223,6.598.807.910,730.302.839.719,614.073.117.939,6.816.014.771.497,4483500000000.0,929291908278.0,22586151682.0,-149876239.0,-211681407015.0,,241493229223.0,6598807910.0,730302839719.0,614073117939.0,6816014771497.0
Lãi trong năm nay,Lãi trong năm nay,Lãi trong năm nay,-,-,-,-,-,-,-,-,651.502.208.886,107.867.723.910,759.369.932.796,,,,,,,,,651502208886.0,107867723910.0,759369932796.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,-,-,-,-,-,(448.350.000.000),(67.981.240.096),(516.331.240.096),,,,,,,,,-448350000000.0,-67981240096.0,-516331240096.0
Trích lập quỹ,Trích lập quỹ,Trích lập quỹ,-,-,274.983.055,-,-,-,45.432.524.269,-,(45.707.507.324),-,-,,,274983055.0,,,,45432524269.0,,-45707507324.0,,
Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,-,-,-,-,-,-,-,-,(49.188.049.430),(10.636.610.464),(59.824.659.894),,,,,,,,,-49188049430.0,-10636610464.0,-59824659894.0
Tăng khác,Tăng khác,Tăng khác,-,-,-,147.404.489,-,(1.072.309.916),-,-,-,-,(924.905.427),,,,147404489.0,,-1072309916.0,,,,,-924905427.0
Trả thù lao của Hội đồng quản trị,Trả thù lao của Hội đồng quản trị,Trả thù lao của Hội đồng quản trị,-,-,-,-,-,-,-,-,(976.004.540),(851.514.384),(1.827.518.924),,,,,,,,,-976004540.0,-851514384.0,-1827518924.0
