row_label_raw,row_label_full,- Chi nhánh Xăng dầu Bắc Ninh (Petrolimex Bắc Ninh),40.312.047.586,40.312.047.586_1,40.860.185.951,40.860.185.951_1,numeric__40.312.047.586,numeric__40.312.047.586_1,numeric__40.860.185.951,numeric__40.860.185.951_1
- Công ty TNHH Gốm sú và Thương mại Vitake,- Công ty TNHH Gốm sú và Thương mại Vitake,- Công ty TNHH Gốm sú và Thương mại Vitake,3.389.162.465,3.389.162.465,3.389.162.465,3.389.162.465,3389162465.0,3389162465.0,3389162465.0,3389162465.0
- Công ty TNHH MTV Dịch vụ nhà ở và Khu đô thị,- Công ty TNHH MTV Dịch vụ nhà ở và Khu đô thị,- Công ty TNHH MTV Dịch vụ nhà ở và Khu đô thị,4.155.688.025,4.155.688.025,4.155.688.025,4.155.688.025,4155688025.0,4155688025.0,4155688025.0,4155688025.0
- Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera,- Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera,- Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera,16.010.552.249,16.010.552.249,16.274.057.334,16.274.057.334,16010552249.0,16010552249.0,16274057334.0,16274057334.0
- Công ty TNHH Kinh doanh Chế biến Nông lâm sản Xuất nhập khẩu Chiến Thắng,- Công ty TNHH Kinh doanh Chế biến Nông lâm sản Xuất nhập khẩu Chiến Thắng,- Công ty TNHH Kinh doanh Chế biến Nông lâm sản Xuất nhập khẩu Chiến Thắng,1.954.107.000,1.954.107.000,1.954.107.000,1.954.107.000,1954107000.0,1954107000.0,1954107000.0,1954107000.0
- Công ty TNHH Kim Sơn,- Công ty TNHH Kim Sơn,- Công ty TNHH Kim Sơn,3.516.242.091,3.516.242.091,3.516.242.091,3.516.242.091,3516242091.0,3516242091.0,3516242091.0,3516242091.0
- Công ty TNHH BMC Hà Nội,- Công ty TNHH BMC Hà Nội,- Công ty TNHH BMC Hà Nội,1.374.551.130,1.374.551.130,1.374.551.130,1.374.551.130,1374551130.0,1374551130.0,1374551130.0,1374551130.0
- Công ty TNHH Phát triển Kỹ thuật DTC,- Công ty TNHH Phát triển Kỹ thuật DTC,- Công ty TNHH Phát triển Kỹ thuật DTC,1.200.000.000,1.200.000.000,1.200.000.000,1.200.000.000,1200000000.0,1200000000.0,1200000000.0,1200000000.0
- Công ty Cổ phần Đầu tư Công nghiệp Hà Nội Vinacomin,- Công ty Cổ phần Đầu tư Công nghiệp Hà Nội Vinacomin,- Công ty Cổ phần Đầu tư Công nghiệp Hà Nội Vinacomin,1.056.000.000,1.056.000.000,1.086.469.931,1.086.469.931,1056000000.0,1056000000.0,1086469931.0,1086469931.0
- Công ty TNHH thương mại và đầu tư Trường Giang,- Công ty TNHH thương mại và đầu tư Trường Giang,- Công ty TNHH thương mại và đầu tư Trường Giang,-,-,373.581.939,373.581.939,,,373581939.0,373581939.0
- Công ty Cổ phần Tiến Thắng,- Công ty Cổ phần Tiến Thắng,- Công ty Cổ phần Tiến Thắng,1.192.025.846,1.192.025.846,1.192.025.846,1.192.025.846,1192025846.0,1192025846.0,1192025846.0,1192025846.0
- Chi nhánh Tổng Công ty Đông Bắc tại Hà Nội,- Chi nhánh Tổng Công ty Đông Bắc tại Hà Nội,- Chi nhánh Tổng Công ty Đông Bắc tại Hà Nội,989.438.020,989.438.020,989.438.020,989.438.020,989438020.0,989438020.0,989438020.0,989438020.0
- Công ty Cổ phần VIEPAC,- Công ty Cổ phần VIEPAC,- Công ty Cổ phần VIEPAC,246.840.280,246.840.280,246.840.280,246.840.280,246840280.0,246840280.0,246840280.0,246840280.0
- Công ty Cổ phần Tập Đoàn Đại Dương,- Công ty Cổ phần Tập Đoàn Đại Dương,- Công ty Cổ phần Tập Đoàn Đại Dương,5.759.933.090,5.759.933.090,5.759.933.090,5.759.933.090,5759933090.0,5759933090.0,5759933090.0,5759933090.0
- Phải trả cho các đối tượng khác,- Phải trả cho các đối tượng khác,- Phải trả cho các đối tượng khác,35.167.188.817,35.167.188.817,36.615.572.489,36.615.572.489,35167188817.0,35167188817.0,36615572489.0,36615572489.0
