row_label_raw,row_label_full,Mã số,CHỈ TIỀU,Thuyết minh,Năm 2019 > VND,Năm 2018 > VND,numeric__CHỈ TIỀU,numeric__Thuyết minh,numeric__Năm 2019 > VND,numeric__Năm 2018 > VND
01,01,01,1. Doanh thu bán hàng và cung cấp dịch vụ,28,10.161.631.223.213,8.816.902.731.708,,28.0,10161631223213.0,8816902731708.0
02,02,02,2. Các khoản giảm trừ doanh thu,29,15.989.547.766,4.807.157.955,,29.0,15989547766.0,4807157955.0
10,10,10,3. Doanh thu thuần bán hàng và cung cấp dịch vụ,30,10.145.641.675.447,8.812.095.573.753,,30.0,10145641675447.0,8812095573753.0
11,11,11,4. Giá vốn hàng bán,31,7.725.612.871.548,6.767.914.235.302,,31.0,7725612871548.0,6767914235302.0
20,20,20,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,,2.420.028.803.899,2.044.181.338.451,,,2420028803899.0,2044181338451.0
21,21,21,6. Doanh thu hoạt động tài chính,32,97.632.488.470,137.494.544.508,,32.0,97632488470.0,137494544508.0
22,22,22,7. Chi phí tài chính,33,211.003.944.890,201.741.349.444,,33.0,211003944890.0,201741349444.0
23,23,23,Trong đó: Chi phí lãi vay,,169.334.473.752,172.629.764.861,,,169334473752.0,172629764861.0
24,24,24,"8. Phản lãi hoặc lỗ trong công ty liên doanh, liên kết",4b,3.130.416.384,2.644.443.155,,,3130416384.0,2644443155.0
25,25,25,9. Chi phí bán hàng,34,752.474.477.932,632.854.022.158,,34.0,752474477932.0,632854022158.0
26,26,26,10. Chi phí quản lý doanh nghiệp,35,567.908.554.764,501.683.032.037,,35.0,567908554764.0,501683032037.0
30,30,30,11. Lợi nhuận thuần từ hoạt động kinh doanh,,989.404.731.167,848.041.922.475,,,989404731167.0,848041922475.0
31,31,31,12. Thu nhập khác,36,57.410.256.626,78.815.991.077,,36.0,57410256626.0,78815991077.0
32,32,32,13. Chi phí khác,37,76.674.786.605,80.009.528.768,,37.0,76674786605.0,80009528768.0
40,40,40,14. Lợi nhuận khác,,(19.264.529.979),(1.193.537.691),,,-19264529979.0,-1193537691.0
50,50,50,15. Tổng lợi nhuận kế toán trước thuế,,970.140.201.188,846.848.384.784,,,970140201188.0,846848384784.0
51,51,51,16. Chi phí thuế thu nhập doanh nghiệp hiện hành,38,204.644.748.446,176.715.508.385,,38.0,204644748446.0,176715508385.0
52,52,52,17. Chi phí thuế thu nhập doanh nghiệp hoãn lại,39,6.125.519.946,2.920.036.232,,39.0,6125519946.0,2920036232.0
60,60,60,18. Lợi nhuận sau thuế thu nhập doanh nghiệp,,759.369.932.796,667.212.840.167,,,759369932796.0,667212840167.0
61,61,61,19. Lợi nhuận sau thuế của Công ty mẹ,,651.502.208.886,565.494.693.465,,,651502208886.0,565494693465.0
62,62,62,20. Lợi nhuận sau thuế của cổ đông không kiểm soát,,107.867.723.910,101.718.146.702,,,107867723910.0,101718146702.0
70,70,70,21. Lãi cơ bản trên cổ phiếu,40,1.453,1.261,,40.0,1453.0,1261.0
