row_label_raw,row_label_full,col_0,Loại tiềnvay,Lãi suất năm,Năm/Thời gianđáo hạn,Mục đích vay,Hình thức đảmbảo,31/12/2019 > VND,01/01/2019 > VND,numeric__Loại tiềnvay,numeric__Lãi suất năm,numeric__Năm/Thời gianđáo hạn,numeric__Mục đích vay,numeric__Hình thức đảmbảo,numeric__31/12/2019 > VND,numeric__01/01/2019 > VND
Trái phiếu thường,Trái phiếu thường,Trái phiếu thường,Trái phiếu thường,Trái phiếu thường,Trái phiếu thường,Trái phiếu thường,Trái phiếu thường,-,79.449.999.998,,,,,,,79449999998.0
- Công ty TNHH Chứng khoánNgân hàng TMCP Ngoạithương Việt Nam,- Công ty TNHH Chứng khoánNgân hàng TMCP Ngoạithương Việt Nam,- Công ty TNHH Chứng khoánNgân hàng TMCP Ngoạithương Việt Nam,VND,,2020,Đầu tư nhà máy Viglacera Mỹ Đức,Thế chấp bằngtài sản,-,46.700.000.000,,,2020.0,,,,46700000000.0
- Quỹ Đầu tư Cân bằng Chiếnlược VCBF (Đại diện bồiVCBF),- Quỹ Đầu tư Cân bằng Chiếnlược VCBF (Đại diện bồiVCBF),- Quỹ Đầu tư Cân bằng Chiếnlược VCBF (Đại diện bồiVCBF),VND,"Năm đầu tiên9,5%, các nãmtiếp theo điềuchính 6 thángmột lần",2020,Đầu tư nhà máy Viglacera Mỹ Đức,Thế chấp bằngtài sản,-,6.700.000.000,,,2020.0,,,,6700000000.0
- Công ty Liên doanh Quản lýQuỹ Đầu tư chứng khoánVietcombank (VCBF),- Công ty Liên doanh Quản lýQuỹ Đầu tư chứng khoánVietcombank (VCBF),- Công ty Liên doanh Quản lýQuỹ Đầu tư chứng khoánVietcombank (VCBF),VND,"Năm đầu tiên9,5%, các nãmtiếp theo điềuchính 6 thángmột lần",2020,Đầu tư nhà máy Viglacera Mỹ Đức,Thế chấp bằngtài sản,-,20.000.000.000,,,2020.0,,,,20000000000.0
- Công ty TNHH Bảo hiểm Nhânthọ AIA Việt Nam (Đại diện bồiVCBF),- Công ty TNHH Bảo hiểm Nhânthọ AIA Việt Nam (Đại diện bồiVCBF),- Công ty TNHH Bảo hiểm Nhânthọ AIA Việt Nam (Đại diện bồiVCBF),VND,,2020,Đầu tư nhà máy Viglacera Mỹ Đức,Thế chấp bằngtài sản,-,6.700.000.000,,,2020.0,,,,6700000000.0
- Chi phí phát hành trái phiếu,- Chi phí phát hành trái phiếu,- Chi phí phát hành trái phiếu,VND,,,,,-,(650.000.002),,,,,,,-650000002.0
Nợ thuê tài chính dài hạn,Nợ thuê tài chính dài hạn,Nợ thuê tài chính dài hạn,Nợ thuê tài chính dài hạn,Nợ thuê tài chính dài hạn,Nợ thuê tài chính dài hạn,Nợ thuê tài chính dài hạn,Nợ thuê tài chính dài hạn,114.585.473.493,87.736.549.138,,,,,,114585473493.0,87736549138.0
- Công ty TNHH MTV Cho thuệtài chính NH Ngoại thương,- Công ty TNHH MTV Cho thuệtài chính NH Ngoại thương,- Công ty TNHH MTV Cho thuệtài chính NH Ngoại thương,VND,Điều chính theothời kỳ,Từ 36 đến 60tháng,Thuê tài chính máy móc thiết bịphục vụ sản xuất và quản lý,Ký quỹ và thếchấp tài sản,16.292.155.937,9.095.849.506,,,,,,16292155937.0,9095849506.0
- Công ty TNHH MTV Cho thuệtài chính NH Công thương,- Công ty TNHH MTV Cho thuệtài chính NH Công thương,- Công ty TNHH MTV Cho thuệtài chính NH Công thương,VND,Điều chính theothời kỳ,Từ 33 đến 60tháng,Thuê tài chính máy móc thiết bịphục vụ sản xuất và quản lý,Ký quỹ và thếchấp tài sản,90.229.693.791,69.181.904.291,,,,,,90229693791.0,69181904291.0
- Công ty Cho thuê tài chínhTNHH MTV Quốc tế Chailease,- Công ty Cho thuê tài chínhTNHH MTV Quốc tế Chailease,- Công ty Cho thuê tài chínhTNHH MTV Quốc tế Chailease,VND,Theo chế độ lãisuất,Từ 24 đến 36tháng,Thuê tài chính máy móc thiết bịphục vụ sản xuất và quản lý,Ký quỹ và thếchấp tài sản,8.063.623.765,9.458.795.341,,,,,,8063623765.0,9458795341.0
,,,,,,,,982.859.567.065,935.015.829.747,,,,,,982859567065.0,935015829747.0
,,,,,,,,(349.119.873.483),(259.715.733.174),,,,,,-349119873483.0,-259715733174.0
Khoản đến hạn trả trong vòng 12 tháng,Khoản đến hạn trả trong vòng 12 tháng,Khoản đến hạn trả trong vòng 12 tháng,Khoản đến hạn trả trong vòng 12 tháng,Khoản đến hạn trả trong vòng 12 tháng,Khoản đến hạn trả trong vòng 12 tháng,Khoản đến hạn trả trong vòng 12 tháng,Khoản đến hạn trả trong vòng 12 tháng,Khoản đến hạn trả trong vòng 12 tháng,Khoản đến hạn trả trong vòng 12 tháng,,,,,,,
,,,,,,,,633.739.693.582,675.300.096.573,,,,,,633739693582.0,675300096573.0
