row_label_raw,row_label_full,col_0,Địa chỉ,31/12/2019 > Tỷ lệ lợi ích,31/12/2019 > Tỷ lệ quyền biểu quyết,31/12/2019 > Giá trị ghi sổ theo phương pháp vốn chủ sở hữu,01/01/2019 > Tỷ lệ lợi ích,01/01/2019 > Tỷ lệ quyền biểu quyết,01/01/2019 > Giá trị ghi sổ theo phương pháp vốn chủ sở hữu,numeric__Địa chỉ,numeric__31/12/2019 > Tỷ lệ lợi ích,numeric__31/12/2019 > Tỷ lệ quyền biểu quyết,numeric__31/12/2019 > Giá trị ghi sổ theo phương pháp vốn chủ sở hữu,numeric__01/01/2019 > Tỷ lệ lợi ích,numeric__01/01/2019 > Tỷ lệ quyền biểu quyết,numeric__01/01/2019 > Giá trị ghi sổ theo phương pháp vốn chủ sở hữu
,,,Địa chỉ,%,%,VND,%,%,VND,,,,,,,
Đầu tư vào Công ty liên kết,Đầu tư vào Công ty liên kết,Đầu tư vào Công ty liên kết,,,,97.851.920.947,,,99.846.896.578,,,,97851920947.0,,,99846896578.0
- Công ty Cổ phần Viglacera Từ Sơn,- Công ty Cổ phần Viglacera Từ Sơn,- Công ty Cổ phần Viglacera Từ Sơn,Bắc Ninh,"24,93%","24,93%",10.914.055.767,"24,93%","24,93%",11.999.961.145,,0.2493,0.2493,10914055767.0,0.2493,0.2493,11999961145.0
- Công ty Cổ phần Viglacera Hạ Long I,- Công ty Cổ phần Viglacera Hạ Long I,- Công ty Cổ phần Viglacera Hạ Long I,Quảng Ninh,"26,00%","26,00%",3.565.502.326,"26,00%","26,00%",3.530.192.434,,0.26,0.26,3565502326.0,0.26,0.26,3530192434.0
- Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera,- Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera,- Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera,Hà Nội,"25,00%","25,00%",7.197.913.596,"25,00%","25,00%",7.231.916.932,,0.25,0.25,7197913596.0,0.25,0.25,7231916932.0
- Công ty Cổ phần Vật liệu chịu lửa Viglacera Cầu Dương,- Công ty Cổ phần Vật liệu chịu lửa Viglacera Cầu Dương,- Công ty Cổ phần Vật liệu chịu lửa Viglacera Cầu Dương,Hà Nội,"25,00%","25,00%",2.831.690.336,"25,00%","25,00%",3.933.025.144,,0.25,0.25,2831690336.0,0.25,0.25,3933025144.0
"- Công ty Magno GMBH\( ^{(4,2)} \)","- Công ty Magno GMBH\( ^{(4,2)} \)","- Công ty Magno GMBH\( ^{(4,2)} \)",Cộng hòa Liên bang Đức,"23,59%","30,00%",226.185.000,"23,59%","30,00%",226.185.000,,0.2359,0.3,226185000.0,0.2359,0.3,226185000.0
- Công ty Cổ phần Viglacera Hạ Long II,- Công ty Cổ phần Viglacera Hạ Long II,- Công ty Cổ phần Viglacera Hạ Long II,Quảng Ninh,"20,19%","40,00%",23.498.505.483,"20,19%","40,00%",25.822.789.342,,0.20190000000000002,0.4,23498505483.0,0.20190000000000002,0.4,25822789342.0
- Công ty Cổ phần Viglacera Đông Triều,- Công ty Cổ phần Viglacera Đông Triều,- Công ty Cổ phần Viglacera Đông Triều,Quảng Ninh,"20,19%","40,00%",49.618.068.439,"20,19%","40,00%",47.102.826.581,,0.20190000000000002,0.4,49618068439.0,0.20190000000000002,0.4,47102826581.0
Đầu tư vào Công ty liên doanh,Đầu tư vào Công ty liên doanh,Đầu tư vào Công ty liên doanh,,,,685.913.593.731,,,664.296.490.460,,,,685913593731.0,,,664296490460.0
- Công ty TNHH Kính nổi Việt Nam,- Công ty TNHH Kính nổi Việt Nam,- Công ty TNHH Kính nổi Việt Nam,Bắc Ninh,"30,00%","30,00%",276.436.622.127,"30,00%","30,00%",275.225.515.620,,0.3,0.3,276436622127.0,0.3,0.3,275225515620.0
"- Công ty TNHH Kính Nội Siêu trắng Phú Mỹ\( ^{(4,3)} \)","- Công ty TNHH Kính Nội Siêu trắng Phú Mỹ\( ^{(4,3)} \)","- Công ty TNHH Kính Nội Siêu trắng Phú Mỹ\( ^{(4,3)} \)",Bà Rịa - Vũng Tàu,"35,00%","35,00%",310.100.000.000,"35,00%","35,00%",310.100.000.000,,0.35,0.35,310100000000.0,0.35,0.35,310100000000.0
- Công ty SanVig - CTCP,- Công ty SanVig - CTCP,- Công ty SanVig - CTCP,Cộng Hòa Cuba,,,99.376.971.604,,,78.970.974.840,,,,99376971604.0,,,78970974840.0
,,,,,,783.765.514.678,,,764.143.387.038,,,,783765514678.0,,,764143387038.0
