row_label_raw,row_label_full,col_0,Mã số,Đã điều chỉnh lại > VND,Đã trình bày trên báo cáo năm trước > VND,numeric__Mã số,numeric__Đã điều chỉnh lại > VND,numeric__Đã trình bày trên báo cáo năm trước > VND
a/ Bảng Cân đối kế toán hợp nhất,a/ Bảng Cân đối kế toán hợp nhất,a/ Bảng Cân đối kế toán hợp nhất,a/ Bảng Cân đối kế toán hợp nhất,a/ Bảng Cân đối kế toán hợp nhất,a/ Bảng Cân đối kế toán hợp nhất,,,
Hàng tồn kho,a/ Bảng Cân đối kế toán hợp nhất > Hàng tồn kho,Hàng tồn kho,141,3.023.799.977.371,2.929.517.866.165,141.0,3023799977371.0,2929517866165.0
Chi phí xây dựng cơ bản dở dang,a/ Bảng Cân đối kế toán hợp nhất > Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,242,1.913.587.640.576,2.007.869.751.782,242.0,1913587640576.0,2007869751782.0
