row_label_raw,row_label_full,col_0,Nhóm bắt động sản và xây dựng,"Nhóm Kính, Sử, Sen vòi, Phụ kiện",Nhóm gạch ốp lát,"Nhóm gạch, ngói đất sét nung",Các bộ phận khác,Loại trừ,Tổng cộng toàn Doanh nghiệp,numeric__Nhóm bắt động sản và xây dựng,"numeric__Nhóm Kính, Sử, Sen vòi, Phụ kiện",numeric__Nhóm gạch ốp lát,"numeric__Nhóm gạch, ngói đất sét nung",numeric__Các bộ phận khác,numeric__Loại trừ,numeric__Tổng cộng toàn Doanh nghiệp
,,,VND,VND,VND,VND,VND,VND,VND,,,,,,,
Doanh thu thuần từ bán hàng và cung cấp dịch vụ,Doanh thu thuần từ bán hàng và cung cấp dịch vụ,Doanh thu thuần từ bán hàng và cung cấp dịch vụ,2.729.425.010.442,2.072.099.574.148,2.950.840.933.238,2.150.021.153.207,243.255.004.412,-,10.145.641.675.447,2729425010442.0,2072099574148.0,2950840933238.0,2150021153207.0,243255004412.0,,10145641675447.0
Giá vốn của hàng bán,Giá vốn của hàng bán,Giá vốn của hàng bán,1.874.931.170.326,1.640.648.863.184,2.259.816.278.746,1.763.296.546.760,186.920.012.532,-,7.725.612.871.548,1874931170326.0,1640648863184.0,2259816278746.0,1763296546760.0,186920012532.0,,7725612871548.0
Lợi nhuận gộp,Lợi nhuận gộp,Lợi nhuận gộp,854.493.840.116,431.450.710.964,691.024.654.492,386.724.606.447,56.334.991.880,-,2.420.028.803.899,854493840116.0,431450710964.0,691024654492.0,386724606447.0,56334991880.0,,2420028803899.0
Tổng chi phí mua TSCĐ,Tổng chi phí mua TSCĐ,Tổng chi phí mua TSCĐ,2.043.255.763.849,12.918.704.489,44.609.060.728,57.918.232.728,68.462.276.890,-,2.227.164.038.684,2043255763849.0,12918704489.0,44609060728.0,57918232728.0,68462276890.0,,2227164038684.0
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,16.065.868.637.581,3.371.574.301.828,2.233.433.935.526,1.425.174.823.759,481.543.902.407,(4.481.827.248.419),19.095.768.352.682,16065868637581.0,3371574301828.0,2233433935526.0,1425174823759.0,481543902407.0,-4481827248419.0,19095768352682.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,,,,,,,791.985.806.819,,,,,,,791985806819.0
Tổng Tài sản,Tổng Tài sản,Tổng Tài sản,16.065.868.637.581,3.371.574.301.828,2.233.433.935.526,1.425.174.823.759,481.543.902.407,(4.481.827.248.419),19.887.754.159.501,16065868637581.0,3371574301828.0,2233433935526.0,1425174823759.0,481543902407.0,-4481827248419.0,19887754159501.0
Nợ phải trả của các bộ phận,Nợ phải trả của các bộ phận,Nợ phải trả của các bộ phận,11.473.322.472.623,2.893.535.167.813,1.736.323.015.128,767.043.346.475,261.520.738.727,(4.333.013.607.825),12.798.731.132.941,11473322472623.0,2893535167813.0,1736323015128.0,767043346475.0,261520738727.0,-4333013607825.0,12798731132941.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,,,,33.946.710.416,,,,,,,33946710416.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,11.473.322.472.623,2.893.535.167.813,1.736.323.015.128,767.043.346.475,261.520.738.727,(4.333.013.607.825),12.832.677.843.357,11473322472623.0,2893535167813.0,1736323015128.0,767043346475.0,261520738727.0,-4333013607825.0,12832677843357.0
