row_label_raw,row_label_full,col_0,Số phải thuđầu năm,Số phải nộpđầu năm,Số phải nộptrong năm,Số đã thực nộptrong năm,Số phải thucuối năm,Số phải nộpcuối năm,numeric__Số phải thuđầu năm,numeric__Số phải nộpđầu năm,numeric__Số phải nộptrong năm,numeric__Số đã thực nộptrong năm,numeric__Số phải thucuối năm,numeric__Số phải nộpcuối năm
,,,VND,VND,VND,VND,VND,VND,,,,,,
Thuế giá trị gia tăng,Thuế giá trị gia tăng,Thuế giá trị gia tăng,1.362.636.560,29.362.310.316,423.609.176.235,466.055.919.379,46.627.138.328,32.180.068.940,1362636560.0,29362310316.0,423609176235.0,466055919379.0,46627138328.0,32180068940.0
"Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",73.959.435,-,4.232.725.961,4.208.971.397,50.204.871,-,73959435.0,,4232725961.0,4208971397.0,50204871.0,
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,680.156.444,73.008.011.012,228.644.812.896,195.509.852.039,242.050.228,105.704.865.653,680156444.0,73008011012.0,228644812896.0,195509852039.0,242050228.0,105704865653.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,15.463.829,10.601.596.392,29.575.511.234,29.985.415.816,-,10.176.227.981,15463829.0,10601596392.0,29575511234.0,29985415816.0,,10176227981.0
Thuế tài nguyên,Thuế tài nguyên,Thuế tài nguyên,540.291.763,841.224.078,12.944.255.956,12.865.845.057,164.088.079,543.431.293,540291763.0,841224078.0,12944255956.0,12865845057.0,164088079.0,543431293.0
Thuế nhà đất và tiền thuê đất,Thuế nhà đất và tiền thuê đất,Thuế nhà đất và tiền thuê đất,603.390.609,4.842.125.696,45.764.985.385,41.064.083.072,1.769.895.986,10.709.533.386,603390609.0,4842125696.0,45764985385.0,41064083072.0,1769895986.0,10709533386.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,243.996.400,20.669.051.948,11.909.208.660,8.783.859.710,95.450.947,23.645.855.445,243996400.0,20669051948.0,11909208660.0,8783859710.0,95450947.0,23645855445.0
"Các khoản phí, lệ phí và các khoản phải nộp khác","Các khoản phí, lệ phí và các khoản phải nộp khác","Các khoản phí, lệ phí và các khoản phải nộp khác",296.634.510,58.102.822.539,18.735.995.484,16.014.475.300,150.977.091,60.678.685.304,296634510.0,58102822539.0,18735995484.0,16014475300.0,150977091.0,60678685304.0
,,,3.816.529.550,197.427.141.981,775.416.671.811,774.488.421.770,49.099.805.530,243.638.668.002,3816529550.0,197427141981.0,775416671811.0,774488421770.0,49099805530.0,243638668002.0
