row_label_raw,row_label_full,col_0,"Máy móc, thiết bị","Phương tiện vận tải,truyền dẫn",Cộng,"numeric__Máy móc, thiết bị","numeric__Phương tiện vận tải,truyền dẫn",numeric__Cộng
,,,VND,VND,VND,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,127.661.029.235,40.226.342.887,167.887.372.122,127661029235.0,40226342887.0,167887372122.0
- Thuê tài chính trong năm,Nguyên giá > - Thuê tài chính trong năm,- Thuê tài chính trong năm,69.471.090.754,11.688.226.235,81.159.316.989,69471090754.0,11688226235.0,81159316989.0
- Mua lại TSCĐ thuê tài chính,Nguyên giá > - Mua lại TSCĐ thuê tài chính,- Mua lại TSCĐ thuê tài chính,(6.800.955.440),(22.176.677.450),(28.977.632.890),-6800955440.0,-22176677450.0,-28977632890.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,190.331.164.549,29.737.891.672,220.069.056.221,190331164549.0,29737891672.0,220069056221.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,30.108.584.455,10.503.657.479,40.612.241.934,30108584455.0,10503657479.0,40612241934.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,17.391.810.477,5.395.739.337,22.787.549.814,17391810477.0,5395739337.0,22787549814.0
- Mua lại TSCĐ thuê tài chính,Giá trị hao mòn lũy kế > - Mua lại TSCĐ thuê tài chính,- Mua lại TSCĐ thuê tài chính,(3.922.140.545),(6.480.716.054),(10.402.856.599),-3922140545.0,-6480716054.0,-10402856599.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,43.578.254.387,9.418.680.762,52.996.935.149,43578254387.0,9418680762.0,52996935149.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,97.552.444.780,29.722.685.408,127.275.130.188,97552444780.0,29722685408.0,127275130188.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,146.752.910.162,20.319.210.910,167.072.121.072,146752910162.0,20319210910.0,167072121072.0
