row_label_raw,row_label_full,a) Tài sản thuế thu nhập hoãn lại,a) Tài sản thuế thu nhập hoãn lại_1,a) Tài sản thuế thu nhập hoãn lại_2,numeric__a) Tài sản thuế thu nhập hoãn lại_1,numeric__a) Tài sản thuế thu nhập hoãn lại_2
,,,31/12/2019,01/01/2019,,
,,,VND,VND,,
Thuế suất Thuế TNDN sử dụng để xác định giá trị tài sản Thuế thu nhập hoãn lại,Thuế suất Thuế TNDN sử dụng để xác định giá trị tài sản Thuế thu nhập hoãn lại,Thuế suất Thuế TNDN sử dụng để xác định giá trị tài sản Thuế thu nhập hoãn lại,20%,20%,0.2,0.2
Tài sản thuế thu nhập hoãn lại liên quan đến khoản chênh lệch tạm thời được khấu trừ,Tài sản thuế thu nhập hoãn lại liên quan đến khoản chênh lệch tạm thời được khấu trừ,Tài sản thuế thu nhập hoãn lại liên quan đến khoản chênh lệch tạm thời được khấu trừ,4.000.000.000,4.269.293.029,4000000000.0,4269293029.0
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,4.000.000.000,4.269.293.029,4000000000.0,4269293029.0
b) Thuế thu nhập hoãn lại phải trả,b) Thuế thu nhập hoãn lại phải trả,b) Thuế thu nhập hoãn lại phải trả,b) Thuế thu nhập hoãn lại phải trả,b) Thuế thu nhập hoãn lại phải trả,,
,,,31/12/2019,01/01/2019,,
,,,VND,VND,,
Thuế suất Thuế TNDN sử dụng để xác định giá trị Thuế thu nhập hoãn lại phải trả,b) Thuế thu nhập hoãn lại phải trả > Thuế suất Thuế TNDN sử dụng để xác định giá trị Thuế thu nhập hoãn lại phải trả,Thuế suất Thuế TNDN sử dụng để xác định giá trị Thuế thu nhập hoãn lại phải trả,20%,20%,0.2,0.2
Thuế thu nhập hoãn lại phải trả phát sinh từ các khoản chênh lệch tạm thời chịu thuế,b) Thuế thu nhập hoãn lại phải trả > Thuế thu nhập hoãn lại phải trả phát sinh từ các khoản chênh lệch tạm thời chịu thuế,Thuế thu nhập hoãn lại phải trả phát sinh từ các khoản chênh lệch tạm thời chịu thuế,33.946.710.416,28.090.483.499,33946710416.0,28090483499.0
Thuế thu nhập hoãn lại phải trả,b) Thuế thu nhập hoãn lại phải trả > Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,33.946.710.416,28.090.483.499,33946710416.0,28090483499.0
