row_label_raw,row_label_full,col_0,Miền BắcTriệu đồng,Miền TrungTriệu đồng,Miền NamTriệu đồng,Tổng bộ phậnđã báo cáoTriệu đồng,Loại trừTriệu đồng,Tổng cộngTriệu đồng,numeric__Miền BắcTriệu đồng,numeric__Miền TrungTriệu đồng,numeric__Miền NamTriệu đồng,numeric__Tổng bộ phậnđã báo cáoTriệu đồng,numeric__Loại trừTriệu đồng,numeric__Tổng cộngTriệu đồng
Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,7.139.829(4.825.314),7.719.714(4.373.854),33.689.161(22.733.329),48.548.704(31.932.497),(11.906.618)11.906.618,36.642.086(20.025.879),,,,,,
Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,7.139.829(4.825.314),7.719.714(4.373.854),33.689.161(22.733.329),48.548.704(31.932.497),(11.906.618)11.906.618,36.642.086(20.025.879),,,,,,
Thu nhập lãi thuần,Chi phí lãi và các chi phí tương tự > Thu nhập lãi thuần,Thu nhập lãi thuần,2.314.515,3.345.860,10.955.832,16.616.207,-,16.616.207,2314515.0,3345860.0,10955832.0,16616207.0,,16616207.0
Các khoản thu nhập ngoài lãi,Chi phí lãi và các chi phí tương tự > Các khoản thu nhập ngoài lãi,Các khoản thu nhập ngoài lãi,229.339,194.146,8.121.143,8.544.628,-,8.544.628,229339.0,194146.0,8121143.0,8544628.0,,8544628.0
TỔNG THU NHẬP HOẠT ĐỘNG,Chi phí lãi và các chi phí tương tự > TỔNG THU NHẬP HOẠT ĐỘNG,TỔNG THU NHẬP HOẠT ĐỘNG,2.543.854,3.540.006,19.076.975,25.160.835,-,25.160.835,2543854.0,3540006.0,19076975.0,25160835.0,,25160835.0
TỔNG CHI PHÍ HOẠT ĐỘNG,Chi phí lãi và các chi phí tương tự > TỔNG CHI PHÍ HOẠT ĐỘNG,TỔNG CHI PHÍ HOẠT ĐỘNG,(1.069.807),(919.404),(8.612.177),(10.601.388),-,(10.601.388),-1069807.0,-919404.0,-8612177.0,-10601388.0,,-10601388.0
Lợi nhuận thuần tử hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Chi phí lãi và các chi phí tương tự > Lợi nhuận thuần tử hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần tử hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,1.474.047,2.620.602,10.464.798,14.559.447,-,14.559.447,1474047.0,2620602.0,10464798.0,14559447.0,,14559447.0
Chi phí dự phòng rủi ro tín dụng,Chi phí lãi và các chi phí tương tự > Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,-,-,(8.710.259),(8.710.259),-,(8.710.259),,,-8710259.0,-8710259.0,,-8710259.0
TỔNG LỢI NHUẬN TRƯỚC THUẾ,Chi phí lãi và các chi phí tương tự > TỔNG LỢI NHUẬN TRƯỚC THUẾ,TỔNG LỢI NHUẬN TRƯỚC THUẾ,1.474.047,2.620.602,1.754.539,5.849.188,-,5.849.188,1474047.0,2620602.0,1754539.0,5849188.0,,5849188.0
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,,,
