row_label_raw,row_label_full,col_0,Số cuối nămTriệu đồng,Số đầu nămTriệu đồng,numeric__Số cuối nămTriệu đồng,numeric__Số đầu nămTriệu đồng
Rủi ro tín dụng liên quan đến các tài sản nội bằng,Rủi ro tín dụng liên quan đến các tài sản nội bằng,Rủi ro tín dụng liên quan đến các tài sản nội bằng,Rủi ro tín dụng liên quan đến các tài sản nội bằng,Rủi ro tín dụng liên quan đến các tài sản nội bằng,,
Tiền gửi tại NHNN Việt Nam,Rủi ro tín dụng liên quan đến các tài sản nội bằng > Tiền gửi tại NHNN Việt Nam,Tiền gửi tại NHNN Việt Nam,10.922.462,10.114.237,10922462.0,10114237.0
Tiền gửi tại và cho vay các TCTD khác,Rủi ro tín dụng liên quan đến các tài sản nội bằng > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,28.729.119,11.098.919,28729119.0,11098919.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Rủi ro tín dụng liên quan đến các tài sản nội bằng > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,109.858,-,109858.0,
Cho vay khách hàng - gộp,Rủi ro tín dụng liên quan đến các tài sản nội bằng > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,428.508.260,379.052.558,428508260.0,379052558.0
- Cho vay khách hàng cá nhân,Rủi ro tín dụng liên quan đến các tài sản nội bằng > - Cho vay khách hàng cá nhân,- Cho vay khách hàng cá nhân,248.449.628,223.367.416,248449628.0,223367416.0
- Cho vay khách hàng tổ chức,Rủi ro tín dụng liên quan đến các tài sản nội bằng > - Cho vay khách hàng tổ chức,- Cho vay khách hàng tổ chức,180.058.632,155.685.142,180058632.0,155685142.0
Hoạt động mua nợ - gộp,Rủi ro tín dụng liên quan đến các tài sản nội bằng > Hoạt động mua nợ - gộp,Hoạt động mua nợ - gộp,124.710,285.967,124710.0,285967.0
Chứng khoán đầu tư - gộp,Rủi ro tín dụng liên quan đến các tài sản nội bằng > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,83.311.590,75.675.062,83311590.0,75675062.0
- Chứng khoán nợ - sẵn sàng để bán,Rủi ro tín dụng liên quan đến các tài sản nội bằng > - Chứng khoán nợ - sẵn sàng để bán,- Chứng khoán nợ - sẵn sàng để bán,27.759.758,34.024.708,27759758.0,34024708.0
- Chứng khoán nợ - giữ đến ngày đáo hạn,Rủi ro tín dụng liên quan đến các tài sản nội bằng > - Chứng khoán nợ - giữ đến ngày đáo hạn,- Chứng khoán nợ - giữ đến ngày đáo hạn,55.551.832,41.650.354,55551832.0,41650354.0
Tài sản tài chính khác - gộp,Rủi ro tín dụng liên quan đến các tài sản nội bằng > Tài sản tài chính khác - gộp,Tài sản tài chính khác - gộp,32.371.817,27.603.477,32371817.0,27603477.0
Rủi ro tín dụng liên quan đến các tài sản ngoại bảng - gộp,Rủi ro tín dụng liên quan đến các tài sản ngoại bảng - gộp,Rủi ro tín dụng liên quan đến các tài sản ngoại bảng - gộp,Rủi ro tín dụng liên quan đến các tài sản ngoại bảng - gộp,Rủi ro tín dụng liên quan đến các tài sản ngoại bảng - gộp,,
Các hợp đồng bảo lãnh tài chính,Rủi ro tín dụng liên quan đến các tài sản ngoại bảng - gộp > Các hợp đồng bảo lãnh tài chính,Các hợp đồng bảo lãnh tài chính,11.478.589,10.973.274,11478589.0,10973274.0
Các cam kết trong thư tín dụng,Rủi ro tín dụng liên quan đến các tài sản ngoại bảng - gộp > Các cam kết trong thư tín dụng,Các cam kết trong thư tín dụng,4.961.354,7.808.917,4961354.0,7808917.0
